phylogatr_id,accession,source_id,latitude,longitude,basis_of_record,coordinate_uncertainty_in_meters,issue,flag
AB842505_2248761374,AB842505,2248761374,43.93,144.45,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
AB842506_2248760861,AB842506,2248760861,43.12,143.61,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
AB842508_2248762437,AB842508,2248762437,43.64,145.15,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
AB842509_2248760183,AB842509,2248760183,44.02,145.19,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
AB843328_2251605007,AB843328,2251605007,35.403,140.049,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
AB843329_2251604636,AB843329,2251604636,35.686,139.753,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
AB843330_2251605863,AB843330,2251605863,43.15,144.15,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
GQ481247_2306986817,GQ481247,2306986817,42.85,133.6,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
GQ481248_2306471363,GQ481248,2306471363,50.07,95.13,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
GQ481250_2309894390,GQ481250,2309894390,48.43,115.1,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
GQ481251_2311220420,GQ481251,2311220420,60.08,150.8,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
GQ922642_2249774489,GQ922642,2249774489,32.28,104.52,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,d
GU571209_2304850168,GU571209,2304850168,59.96,10.73,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
GU571210_2308180905,GU571210,2308180905,58.87,9.6,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
GU571689_2309292731,GU571689,2309292731,59.44,17.79,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
GU571690_2308369471,GU571690,2308369471,57.87,11.97,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
KF946553_2251007648,KF946553,2251007648,51.78,5.86,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
KF946554_2251004785,KF946554,2251004785,51.34,5.9,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
KF946555_2251004978,KF946555,2251004978,51.28,6.06,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
KF946556_2251003896,KF946556,2251003896,51.9,5.16,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
KF946557_2251006969,KF946557,2251006969,52.36,4.86,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
KF946558_2251007475,KF946558,2251007475,52.3,4.94,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
KF946559_2251005924,KF946559,2251005924,51.1,5.92,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
KF946560_2251005585,KF946560,2251005585,51.3,6.12,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
KF946561_2251005559,KF946561,2251005559,52.18,6.36,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
KF946562_2251008527,KF946562,2251008527,52.34,5.16,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
KF946563_2251005644,KF946563,2251005644,51.34,6.18,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
