phylogatr_id,accession,source_id,latitude,longitude,basis_of_record,coordinate_uncertainty_in_meters,issue,flag
KX518324_2309510663,KX518324,2309510663,15.05,-23.61,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,0
KX518325_2308876748,KX518325,2308876748,15.02,-24.33,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,0
KX518326_2308413180,KX518326,2308413180,15.05,-23.6,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,0
KX518327_2310414591,KX518327,2310414591,15.05,-23.6,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,0
KX518328_2309592680,KX518328,2309592680,15.05,-23.61,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,0
KX518329_2310381614,KX518329,2310381614,15.13,-23.53,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,0
KX518330_2310058314,KX518330,2310058314,14.92,-23.6,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,0
KX518331_2307281546,KX518331,2307281546,15.05,-23.61,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,0
KX518332_2308251617,KX518332,2308251617,15.05,-23.61,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,0
KX518333_2309233368,KX518333,2309233368,15.05,-23.61,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,0
KX518334_2310016743,KX518334,2310016743,15.03,-23.62,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,0
KX518335_2308973553,KX518335,2308973553,15.03,-23.62,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,0
KX518336_2310822149,KX518336,2310822149,15.12,-23.52,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,0
KX518337_2309789042,KX518337,2309789042,15.02,-24.33,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,0
KX518338_2309566854,KX518338,2309566854,15.02,-24.33,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,0
KX518339_2309679209,KX518339,2309679209,16.64,-24.35,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,0
KX518340_2310778091,KX518340,2310778091,16.63,-24.32,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,0
