phylogatr_id,accession,source_id,latitude,longitude,basis_of_record,coordinate_uncertainty_in_meters,issue,flag
JX273110_896329836,JX273110,896329836,-9.51136,-77.0948,PRESERVED_SPECIMEN,200,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT,0
KJ828969_896329504,KJ828969,896329504,-9.572117,-77.84745,PRESERVED_SPECIMEN,150,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED,0
KJ828970_896329509,KJ828970,896329509,-9.572117,-77.84745,PRESERVED_SPECIMEN,150,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED,0
KJ828971_896329510,KJ828971,896329510,-9.572117,-77.84745,PRESERVED_SPECIMEN,150,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED,0
KJ828972_896329512,KJ828972,896329512,-9.572117,-77.84745,PRESERVED_SPECIMEN,150,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED,0
KJ828973_896329513,KJ828973,896329513,-9.572117,-77.84745,PRESERVED_SPECIMEN,150,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED,0
KJ828974_896329514,KJ828974,896329514,-9.572117,-77.84745,PRESERVED_SPECIMEN,150,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED,0
KJ828975_896329518,KJ828975,896329518,-9.572117,-77.84745,PRESERVED_SPECIMEN,150,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED,0
KJ828976_896329531,KJ828976,896329531,-9.572117,-77.84745,PRESERVED_SPECIMEN,150,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED,0
KJ828977_896329534,KJ828977,896329534,-9.572117,-77.84745,PRESERVED_SPECIMEN,150,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED,0
KJ828978_896329535,KJ828978,896329535,-9.572117,-77.84745,PRESERVED_SPECIMEN,150,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED,0
KJ828983_896329545,KJ828983,896329545,-9.098267,-77.869333,PRESERVED_SPECIMEN,10,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED,0
KJ828984_896329546,KJ828984,896329546,-9.097138,-77.867445,PRESERVED_SPECIMEN,150,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED,0
KJ828985_896329547,KJ828985,896329547,-9.101267,-77.864027,PRESERVED_SPECIMEN,150,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED,0
KJ828986_896329548,KJ828986,896329548,-9.101267,-77.864027,PRESERVED_SPECIMEN,150,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED,0
KJ828987_896329552,KJ828987,896329552,-9.098862,-77.862555,PRESERVED_SPECIMEN,10,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED,0
KJ828999_896329834,KJ828999,896329834,-9.51136,-77.0948,PRESERVED_SPECIMEN,200,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT,0
KJ829000_896329835,KJ829000,896329835,-9.51136,-77.0948,PRESERVED_SPECIMEN,200,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT,0
KJ829001_896329836,KJ829001,896329836,-9.51136,-77.0948,PRESERVED_SPECIMEN,200,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT,0
KJ829002_896329837,KJ829002,896329837,-9.51136,-77.0948,PRESERVED_SPECIMEN,200,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT,0
KJ829003_896329839,KJ829003,896329839,-9.51136,-77.0948,PRESERVED_SPECIMEN,200,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT,0
KJ829004_896329840,KJ829004,896329840,-9.51136,-77.0948,PRESERVED_SPECIMEN,200,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT,0
KJ829005_896329841,KJ829005,896329841,-9.51136,-77.0948,PRESERVED_SPECIMEN,200,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT,0
KJ829006_896329844,KJ829006,896329844,-9.51136,-77.0948,PRESERVED_SPECIMEN,200,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT,0
