phylogatr_id,accession,source_id,latitude,longitude,basis_of_record,coordinate_uncertainty_in_meters,issue,flag
JX273114_896329012,JX273114,896329012,-12.0089,-76.923233,PRESERVED_SPECIMEN,30,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED,0
JX273115_896329576,JX273115,896329576,-17.561362,-70.672362,PRESERVED_SPECIMEN,150,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED,0
KJ828938_896329415,KJ828938,896329415,-8.38685,-78.64518,PRESERVED_SPECIMEN,300,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT,0
KJ828939_896329428,KJ828939,896329428,-8.38685,-78.64518,PRESERVED_SPECIMEN,100,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT,0
KJ828940_896329432,KJ828940,896329432,-8.38685,-78.64518,PRESERVED_SPECIMEN,300,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT,0
KJ828941_896329434,KJ828941,896329434,-8.38685,-78.64518,PRESERVED_SPECIMEN,100,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT,0
KJ828942_896329444,KJ828942,896329444,-8.38685,-78.64518,PRESERVED_SPECIMEN,300,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT,0
KJ828943_896329450,KJ828943,896329450,-8.75478,-78.04845,PRESERVED_SPECIMEN,150,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT,0
KJ828944_896329452,KJ828944,896329452,-8.75478,-78.04845,PRESERVED_SPECIMEN,150,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT,0
KJ828945_896329453,KJ828945,896329453,-8.75478,-78.04845,PRESERVED_SPECIMEN,150,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT,0
KJ828946_896329454,KJ828946,896329454,-8.75478,-78.04845,PRESERVED_SPECIMEN,150,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT,0
