phylogatr_id,accession,source_id,latitude,longitude,basis_of_record,coordinate_uncertainty_in_meters,issue,flag
AB842550_2248762316,AB842550,2248762316,43.352,143.542,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
AB842551_2248762158,AB842551,2248762158,42.888,143.186,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
AB842552_2248763306,AB842552,2248763306,43.51,143.15,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
AB842553_2248760173,AB842553,2248760173,43.33,143.582,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
AB842554_2248762804,AB842554,2248762804,43.33,143.562,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
AB842555_2248762986,AB842555,2248762986,43.33,143.562,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
AB842556_2248761357,AB842556,2248761357,43.33,143.562,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
AB842557_2248761112,AB842557,2248761112,43.33,143.562,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
AB842558_2248760301,AB842558,2248760301,43.33,143.562,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
AB842559_2248762335,AB842559,2248762335,43.33,143.562,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
AB843356_2251604914,AB843356,2251604914,36.096,138.029,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
AB843357_2251605119,AB843357,2251605119,44.417,141.417,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
AB843358_2251606280,AB843358,2251606280,43.3,143.617,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
GQ481346_2310043697,GQ481346,2310043697,46.37,141.88,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
GQ481347_2310180182,GQ481347,2310180182,48.43,115.1,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
GQ481348_2310800840,GQ481348,2310800840,63.48,74.87,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
GQ481349_2310087637,GQ481349,2310087637,47.77,112.15,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
