phylogatr_id,accession,source_id,latitude,longitude,basis_of_record,coordinate_uncertainty_in_meters,issue,flag
MH929111_2248808820,MH929111,2248808820,1.305,112.072,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
MH929112_2248807971,MH929112,2248807971,1.303,112.071,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
MH929113_2248809153,MH929113,2248809153,1.305,112.072,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
MH929114_2248808114,MH929114,2248808114,1.305,112.072,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
MH929115_2248808887,MH929115,2248808887,1.305,112.072,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
MH929116_2248808551,MH929116,2248808551,1.303,112.071,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
MH929117_2248809015,MH929117,2248809015,1.303,112.071,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
MH929118_2248808791,MH929118,2248808791,1.305,112.072,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
MH929119_2248809024,MH929119,2248809024,1.305,112.072,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
MK327572_2310404897,MK327572,2310404897,2.72,102.07,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
EU541450_2309016694,EU541450,2309016694,-0.55,100.36,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
FJ473069_2249769193,FJ473069,2249769193,-0.82,117.05,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,d
FJ473070_2249769197,FJ473070,2249769197,-0.82,117.05,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,d
FJ473071_2249769220,FJ473071,2249769220,-0.82,117.05,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,d
FJ473072_2249769189,FJ473072,2249769189,-0.82,117.05,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,d
FJ473073_2249769188,FJ473073,2249769188,-0.82,117.05,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,d
FJ473074_2249769194,FJ473074,2249769194,-0.82,117.05,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,d
FJ473075_2249769198,FJ473075,2249769198,-0.82,117.05,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,d
FJ473080_2249769183,FJ473080,2249769183,-1.169,116.909,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,d
FJ473084_2249769321,FJ473084,2249769321,-1.169,116.909,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,d
FJ473087_2249769175,FJ473087,2249769175,-1.169,116.909,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,d
FJ473095_2249769166,FJ473095,2249769166,-1.169,116.909,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,d
FJ473109_2309620653,FJ473109,2309620653,-6.73,106.53,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
FJ473110_2249769167,FJ473110,2249769167,-6.73,106.53,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,d
FJ473111_2249769312,FJ473111,2249769312,-6.73,106.53,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,d
FJ473114_2304390900,FJ473114,2304390900,1.74,103.48,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
FJ473117_2307593836,FJ473117,2307593836,1.74,103.48,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
FJ473118_2304511915,FJ473118,2304511915,1.72,103.5,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
