phylogatr_id,accession,source_id,latitude,longitude,basis_of_record,coordinate_uncertainty_in_meters,issue,flag
AB842565_2248761531,AB842565,2248761531,35.367,132.783,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
AB842566_2248763090,AB842566,2248763090,36.362,138.589,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
AB842567_2248761211,AB842567,2248761211,24.456,123.013,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
AB842568_2248761955,AB842568,2248761955,35.545,134.733,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
AB842569_2248761400,AB842569,2248761400,36.362,138.589,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
AB842570_2248761501,AB842570,2248761501,35.545,134.733,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
AB842571_2248762512,AB842571,2248762512,35.545,134.733,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
AB842572_2248763051,AB842572,2248763051,24.456,123.013,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
AB842573_2248760854,AB842573,2248760854,35.545,134.733,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
AB843365_2251605500,AB843365,2251605500,35.933,139.55,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
GQ481372_2305486651,GQ481372,2305486651,51.38,136.55,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
GU571266_2311192064,GU571266,2311192064,69.65,18.92,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
GU571740_2305263662,GU571740,2305263662,55.61,13.39,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
JF499093_2306601820,JF499093,2306601820,34.14,132.23,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
JF499094_2305267198,JF499094,2305267198,34.14,132.23,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
JF499095_2305903239,JF499095,2305903239,34.14,132.23,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
JF499096_2307261973,JF499096,2307261973,34.14,132.23,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
