phylogatr_id,accession,source_id,latitude,longitude,basis_of_record,coordinate_uncertainty_in_meters,issue,flag
MK261863_2306540895,MK261863,2306540895,-36.9,174.45,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
MK261913_2310203139,MK261913,2310203139,-36.9,174.45,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
MK261956_2308100347,MK261956,2308100347,-36.9,176.3,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
MK262045_2304360506,MK262045,2304360506,-36.89,174.44,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
MK262084_2309570519,MK262084,2309570519,-36.9,174.45,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
MK262108_2309974480,MK262108,2309974480,-36.9,174.45,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
MK262110_2309226418,MK262110,2309226418,-36,175.35,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
MK262133_2304226411,MK262133,2304226411,-36.88,176.28,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
MK262232_2311203181,MK262232,2311203181,-36.9,174.45,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
MK262235_2309032295,MK262235,2309032295,-37.33,176.42,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
MK262236_2310129899,MK262236,2310129899,-36.9,174.45,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
MK262265_2306899328,MK262265,2306899328,-36.9,174.45,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
MK262331_2307177088,MK262331,2307177088,-36.88,174.44,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
MK262384_2304606565,MK262384,2304606565,-36.89,174.44,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
MK262542_2305017173,MK262542,2305017173,-36.9,174.45,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
DQ434007_2305524287,DQ434007,2305524287,44.32,-166.28,PRESERVED_SPECIMEN,0,GEODETIC_DATUM_ASSUMED_WGS84,b
DQ434008_2306197684,DQ434008,2306197684,40,-177,PRESERVED_SPECIMEN,0,GEODETIC_DATUM_ASSUMED_WGS84,b
DQ434009_2307730469,DQ434009,2307730469,41,177,PRESERVED_SPECIMEN,0,GEODETIC_DATUM_ASSUMED_WGS84,b
DQ434010_2308944671,DQ434010,2308944671,42,171,PRESERVED_SPECIMEN,0,GEODETIC_DATUM_ASSUMED_WGS84,b
DQ434011_2306172581,DQ434011,2306172581,42.78,-164.3,PRESERVED_SPECIMEN,0,GEODETIC_DATUM_ASSUMED_WGS84,b
