phylogatr_id,accession,source_id,latitude,longitude,basis_of_record,coordinate_uncertainty_in_meters,issue,flag
MK261813_2307514319,MK261813,2307514319,-35.9,175.13,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
MK261886_2308943466,MK261886,2308943466,-36.89,174.44,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
MK261900_2306998758,MK261900,2306998758,-38.55,145.34,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
MK261911_2311130941,MK261911,2311130941,-36.88,174.44,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
MK261958_2305279966,MK261958,2305279966,-35.9,175.12,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
MK261983_2306363666,MK261983,2306363666,-48.82,166.78,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
MK262039_2309712788,MK262039,2309712788,-37.11,175.86,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
MK262079_2308063455,MK262079,2308063455,-35.9,175.12,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
MK262112_2308668791,MK262112,2308668791,-35.9,175.12,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
MK262118_2311067321,MK262118,2311067321,-50.62,167.23,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
MK262163_2311067642,MK262163,2311067642,-36.89,174.44,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
MK262239_2308301052,MK262239,2308301052,-36.9,174.45,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
MK262328_2310928867,MK262328,2310928867,-36.9,174.45,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
MK262344_2308339744,MK262344,2308339744,-37.11,175.86,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
MK262405_2310356522,MK262405,2310356522,-36.88,174.44,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
MK262520_2310731401,MK262520,2310731401,-36.9,174.45,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
MK262556_2306170841,MK262556,2306170841,-36.9,174.45,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
MK262580_2309844582,MK262580,2309844582,-36.9,174.45,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
MK262619_2309799809,MK262619,2309799809,-46.76,167.64,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
MK262685_2306756525,MK262685,2306756525,-36.9,174.45,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
JN801370_2310288226,JN801370,2310288226,43.3,156.7,PRESERVED_SPECIMEN,0,GEODETIC_DATUM_ASSUMED_WGS84,b
JN801371_2308675791,JN801371,2308675791,41.26,156.116,PRESERVED_SPECIMEN,0,GEODETIC_DATUM_ASSUMED_WGS84,b
JQ176048_2311190681,JQ176048,2311190681,7,-132.5,PRESERVED_SPECIMEN,0,GEODETIC_DATUM_ASSUMED_WGS84,b
