phylogatr_id,accession,source_id,latitude,longitude,basis_of_record,coordinate_uncertainty_in_meters,issue,flag
AB843724_2251606145,AB843724,2251606145,26.633,142.167,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
AB843725_2251607601,AB843725,2251607601,27.1,142.2,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
AB843726_2251605508,AB843726,2251605508,27.1,142.183,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
MK261969_2309881645,MK261969,2309881645,-29.25,177.93,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
MK262268_2305674093,MK262268,2305674093,-36.25,150.23,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
MK262409_2310455522,MK262409,2310455522,-29.25,178.05,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
MK262437_2309390405,MK262437,2309390405,-29.24,177.88,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
MK262467_2306043888,MK262467,2306043888,-29.25,177.88,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
MK262611_2309291930,MK262611,2309291930,-29.42,178.04,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
DQ433151_2309799597,DQ433151,2309799597,7,-132.5,PRESERVED_SPECIMEN,0,GEODETIC_DATUM_ASSUMED_WGS84,b
DQ434016_2307159974,DQ434016,2307159974,16.45,-169.31,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
DQ434018_2305230465,DQ434018,2305230465,7,-147.3,PRESERVED_SPECIMEN,0,GEODETIC_DATUM_ASSUMED_WGS84,b
DQ434019_2304862891,DQ434019,2304862891,-30.32,153.15,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
DQ434020_2307757242,DQ434020,2307757242,-30.32,153.15,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
DQ434021_2308734825,DQ434021,2308734825,-30.32,153.15,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
