phylogatr_id,accession,source_id,latitude,longitude,basis_of_record,coordinate_uncertainty_in_meters,issue,flag
DQ459516_896434100,DQ459516,896434100,32.982737222,-116.794216505,PRESERVED_SPECIMEN,3040,TYPE_STATUS_INVALID;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_REPROJECTED,0
EF488690_896445619,EF488690,896445619,37.820367,-118.467133,PRESERVED_SPECIMEN,32,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED,0
EF488691_896445661,EF488691,896445661,37.820367,-118.467133,PRESERVED_SPECIMEN,32,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED,0
EF488694_896442259,EF488694,896442259,37.4479800377,-118.3951806992,PRESERVED_SPECIMEN,4039,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_REPROJECTED,0
EF488695_896442309,EF488695,896442309,37.4479800377,-118.3951806992,PRESERVED_SPECIMEN,4039,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_REPROJECTED,0
EF488696_896442840,EF488696,896442840,37.3943686888,-118.3326465887,PRESERVED_SPECIMEN,978,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_REPROJECTED;COORDINATE_ROUNDED,0
EF488697_896442874,EF488697,896442874,37.3943686888,-118.3326465887,PRESERVED_SPECIMEN,978,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_REPROJECTED;COORDINATE_ROUNDED,0
EF488698_896441652,EF488698,896441652,37.3872468466,-118.3325855034,PRESERVED_SPECIMEN,978,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_REPROJECTED;COORDINATE_ROUNDED,0
EF488699_896442164,EF488699,896442164,37.3985274238,-118.3557341833,PRESERVED_SPECIMEN,30,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_REPROJECTED,0
EF488703_896443224,EF488703,896443224,37.380170712,-118.5045524807,PRESERVED_SPECIMEN,2124,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_REPROJECTED,0
EF488704_896443244,EF488704,896443244,37.380170712,-118.5045524807,PRESERVED_SPECIMEN,2124,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_REPROJECTED,0
EF488705_896443387,EF488705,896443387,37.380170712,-118.5045524807,PRESERVED_SPECIMEN,2124,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_REPROJECTED,0
EF488706_896443406,EF488706,896443406,37.380170712,-118.5045524807,PRESERVED_SPECIMEN,2124,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_REPROJECTED,0
EF488708_896443144,EF488708,896443144,37.3614795293,-118.5838661299,PRESERVED_SPECIMEN,14066,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_REPROJECTED;COORDINATE_ROUNDED,0
EF488709_896443169,EF488709,896443169,37.3614795293,-118.5838661299,PRESERVED_SPECIMEN,14066,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_REPROJECTED;COORDINATE_ROUNDED,0
EF488710_896441622,EF488710,896441622,37.3292161836,-118.4591408086,PRESERVED_SPECIMEN,3739,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_REPROJECTED;COORDINATE_ROUNDED,0
EF488711_896441644,EF488711,896441644,37.3292161836,-118.4591408086,PRESERVED_SPECIMEN,3739,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_REPROJECTED;COORDINATE_ROUNDED,0
EF488712_896441686,EF488712,896441686,37.3292161836,-118.4591408086,PRESERVED_SPECIMEN,3739,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_REPROJECTED;COORDINATE_ROUNDED,0
EF488713_896441709,EF488713,896441709,37.3292161836,-118.4591408086,PRESERVED_SPECIMEN,3739,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_REPROJECTED;COORDINATE_ROUNDED,0
EF488714_896442375,EF488714,896442375,37.3177988476,-118.4044623842,PRESERVED_SPECIMEN,166,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_REPROJECTED;COORDINATE_ROUNDED,0
EF488715_896442398,EF488715,896442398,37.3177988476,-118.4044623842,PRESERVED_SPECIMEN,166,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_REPROJECTED;COORDINATE_ROUNDED,0
EF488716_896438230,EF488716,896438230,37.3106282455,-118.3726545492,PRESERVED_SPECIMEN,803,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_REPROJECTED;COORDINATE_ROUNDED,0
EF488717_896438166,EF488717,896438166,37.307010325,-118.3727845098,PRESERVED_SPECIMEN,803,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_REPROJECTED;COORDINATE_ROUNDED,0
EF488718_896438183,EF488718,896438183,37.307010325,-118.3727845098,PRESERVED_SPECIMEN,803,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_REPROJECTED;COORDINATE_ROUNDED,0
EF488719_896441917,EF488719,896441917,37.307010325,-118.3727845098,PRESERVED_SPECIMEN,803,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_REPROJECTED;COORDINATE_ROUNDED,0
EF488720_896441546,EF488720,896441546,37.3439037039,-118.3462593167,PRESERVED_SPECIMEN,6077,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_REPROJECTED;COORDINATE_ROUNDED,0
EF488721_896441563,EF488721,896441563,37.3439037039,-118.3462593167,PRESERVED_SPECIMEN,6077,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_REPROJECTED;COORDINATE_ROUNDED,0
EF488722_896437939,EF488722,896437939,37.2927490846,-118.3137109478,PRESERVED_SPECIMEN,7454,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_REPROJECTED;COORDINATE_ROUNDED,0
EF488723_896437957,EF488723,896437957,37.2927490846,-118.3137109478,PRESERVED_SPECIMEN,7454,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_REPROJECTED;COORDINATE_ROUNDED,0
EF488724_896441682,EF488724,896441682,37.2858262382,-118.3137978688,PRESERVED_SPECIMEN,7454,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_REPROJECTED;COORDINATE_ROUNDED,0
EF488725_896441699,EF488725,896441699,37.2858262382,-118.3137978688,PRESERVED_SPECIMEN,7454,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_REPROJECTED;COORDINATE_ROUNDED,0
EF488726_896438172,EF488726,896438172,37.1433249598,-118.2430935379,PRESERVED_SPECIMEN,290,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_REPROJECTED,0
EF488727_896438193,EF488727,896438193,37.1433249598,-118.2430935379,PRESERVED_SPECIMEN,290,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_REPROJECTED,0
EF488728_896438184,EF488728,896438184,36.8023264099,-118.1543775219,PRESERVED_SPECIMEN,3862,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_REPROJECTED,0
EF488729_896438207,EF488729,896438207,36.8023264099,-118.1543775219,PRESERVED_SPECIMEN,3862,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_REPROJECTED,0
EF488730_896434790,EF488730,896434790,36.0444562231,-117.9156634447,PRESERVED_SPECIMEN,3637,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_REPROJECTED,0
EF488731_896434804,EF488731,896434804,36.0444562231,-117.9156634447,PRESERVED_SPECIMEN,3637,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_REPROJECTED,0
EF488732_896434873,EF488732,896434873,36.0444562231,-117.9156634447,PRESERVED_SPECIMEN,3637,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_REPROJECTED,0
EF488733_896434413,EF488733,896434413,36.0444562231,-117.9156634447,PRESERVED_SPECIMEN,3637,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_REPROJECTED,0
