phylogatr_id,accession,source_id,latitude,longitude,basis_of_record,coordinate_uncertainty_in_meters,issue,flag
EF488686_896431496,EF488686,896431496,38.3046412503,-118.4777430002,PRESERVED_SPECIMEN,2441,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_REPROJECTED,0
EF488687_896431522,EF488687,896431522,38.3046412503,-118.4777430002,PRESERVED_SPECIMEN,2441,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_REPROJECTED,0
EF488688_896432809,EF488688,896432809,37.8182774029,-118.4767210486,PRESERVED_SPECIMEN,3444,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_REPROJECTED;COORDINATE_ROUNDED,0
EF488689_896432829,EF488689,896432829,37.8182774029,-118.4767210486,PRESERVED_SPECIMEN,3444,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_REPROJECTED;COORDINATE_ROUNDED,0
EF488692_896431509,EF488692,896431509,37.5498159502,-118.3762064568,PRESERVED_SPECIMEN,7757,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_REPROJECTED,0
EF488693_896431535,EF488693,896431535,37.5498159502,-118.3762064568,PRESERVED_SPECIMEN,7757,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_REPROJECTED,0
JX218188_896430350,JX218188,896430350,37.9244858065,-118.390178276,PRESERVED_SPECIMEN,5813,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_REPROJECTED;COORDINATE_ROUNDED,0
JX218189_896430379,JX218189,896430379,37.9244858065,-118.390178276,PRESERVED_SPECIMEN,5813,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_REPROJECTED;COORDINATE_ROUNDED,0
JX218190_896431496,JX218190,896431496,38.3046412503,-118.4777430002,PRESERVED_SPECIMEN,2441,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_REPROJECTED,0
JX218191_896431522,JX218191,896431522,38.3046412503,-118.4777430002,PRESERVED_SPECIMEN,2441,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_REPROJECTED,0
JX218192_896431693,JX218192,896431693,37.9296190242,-114.3421481702,PRESERVED_SPECIMEN,10282,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_REPROJECTED,0
JX218193_896431718,JX218193,896431718,37.9296190242,-114.3421481702,PRESERVED_SPECIMEN,10282,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_REPROJECTED,0
JX218194_896434505,JX218194,896434505,41.8594004841,-118.5175417336,PRESERVED_SPECIMEN,2876,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_REPROJECTED,0
JX218195_896434533,JX218195,896434533,41.8594004841,-118.5175417336,PRESERVED_SPECIMEN,2876,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_REPROJECTED,0
JX218196_896434796,JX218196,896434796,42.4548809587,-119.9230855575,PRESERVED_SPECIMEN,2631,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_REPROJECTED,0
JX218197_896434801,JX218197,896434801,42.4548809587,-119.9230855575,PRESERVED_SPECIMEN,2631,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_REPROJECTED,0
