phylogatr_id,accession,source_id,latitude,longitude,basis_of_record,coordinate_uncertainty_in_meters,issue,flag
DQ433330_2307588450,DQ433330,2307588450,44.26,-81.24,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
DQ433331_2307320421,DQ433331,2307320421,60.43,-135.04,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
DQ433332_2308271508,DQ433332,2308271508,43.33,-80.15,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
DQ433333_2304223174,DQ433333,2304223174,43.64,-80.15,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
DQ433334_2307564492,DQ433334,2307564492,58.75,-94.19,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
GQ481379_2305348875,GQ481379,2305348875,56.29,67.35,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
GQ481380_2309721495,GQ481380,2309721495,51.38,136.55,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
GQ481381_2311151528,GQ481381,2311151528,59.7,151.23,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
GQ922626_2249776196,GQ922626,2249776196,32.28,104.52,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,d
GU571269_2310178858,GU571269,2310178858,68.49,16.67,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
GU571743_2304685510,GU571743,2304685510,66.6,23.89,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
GU571744_2306147347,GU571744,2306147347,59.21,18.13,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
JF498831_2307857213,JF498831,2307857213,21.32,-157.95,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
KF946598_2251007063,KF946598,2251007063,53.1,4.783,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
KM377628_2308655677,KM377628,2308655677,-40.6,-72.89,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
