phylogatr_id,accession,source_id,latitude,longitude,basis_of_record,coordinate_uncertainty_in_meters,issue,flag
AB842576_2248760537,AB842576,2248760537,43.167,143.241,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
AB843367_2251606040,AB843367,2251606040,37.967,139.167,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
AB843368_2251605063,AB843368,2251605063,35.267,139.9,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
AB843369_2251605767,AB843369,2251605767,44.433,141.333,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
DQ432752_2308581635,DQ432752,2308581635,29.48,-93.18,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
DQ433335_2305870762,DQ433335,2305870762,44.12,-79,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
DQ433336_2305279386,DQ433336,2305279386,43.33,-80.15,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
DQ433337_2305600865,DQ433337,2305600865,43.15,-79.5,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
DQ433338_2304255731,DQ433338,2304255731,43.33,-80.15,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
GQ481382_2310156904,GQ481382,2310156904,48.03,118.13,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
GQ481383_2308416424,GQ481383,2308416424,50.07,95.13,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
GQ481385_2309084349,GQ481385,2309084349,49.75,137.12,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
GU571271_2310099447,GU571271,2310099447,68.66,16.57,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
GU571272_2309276828,GU571272,2309276828,58.2,8.08,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
GU571745_2306506703,GU571745,2306506703,60.62,16.77,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
GU571746_2304589954,GU571746,2304589954,63.24,18.54,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
KF946600_2251007621,KF946600,2251007621,52.5,4.92,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
KF946601_2251007940,KF946601,2251007940,52.1,6.2,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
AY666568_2251565389,AY666568,2251565389,43.4333,-79.6667,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
