phylogatr_id,accession,source_id,latitude,longitude,basis_of_record,coordinate_uncertainty_in_meters,issue,flag
DQ432829_2309172486,DQ432829,2309172486,61.31,-149.81,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
DQ433448_2306573533,DQ433448,2306573533,43.4,-79.23,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
DQ433449_2306556666,DQ433449,2306556666,61.18,-149.48,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
DQ433450_2304506419,DQ433450,2304506419,47.18,-120.35,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
DQ433452_2307015877,DQ433452,2307015877,47.15,-120.4,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
DQ433453_2308411256,DQ433453,2308411256,61.18,-149.48,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
DQ433454_2305283701,DQ433454,2305283701,61.18,-149.48,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
DQ433455_2307681039,DQ433455,2307681039,47.15,-120.4,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
DQ433456_2304400620,DQ433456,2304400620,47,-120.33,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
DQ434525_2250737075,DQ434525,2250737075,42.856,-79.552,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,g
DQ434526_2250737071,DQ434526,2250737071,42.856,-79.552,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,g
DQ434527_2250737216,DQ434527,2250737216,42.856,-79.552,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,g
DQ434528_2250737315,DQ434528,2250737315,42.586,-80.399,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,g
HM033253_2309596144,HM033253,2309596144,55.4,-123.21,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
HM033254_2307728591,HM033254,2307728591,55.4,-123.21,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
HM033255_2310045861,HM033255,2310045861,43.4,-66.02,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
HM033256_2309995665,HM033256,2309995665,55.4,-123.21,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
HM033257_2310161752,HM033257,2310161752,44.27,-65.88,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
HM033258_2311094594,HM033258,2311094594,43.4,-66.02,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
HM033259_2310612786,HM033259,2310612786,44.27,-65.88,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
HM033260_2309672407,HM033260,2309672407,49.36,-57.57,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
HM033261_2310744506,HM033261,2310744506,44.16,-66.22,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
HM033262_2308397779,HM033262,2308397779,44.16,-66.22,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
HM033263_2308537525,HM033263,2308537525,48.32,-123.53,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
