phylogatr_id,accession,source_id,latitude,longitude,basis_of_record,coordinate_uncertainty_in_meters,issue,flag
MK261783_2309279900,MK261783,2309279900,-40.24,175.22,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
MK261784_2307415345,MK261784,2307415345,-36.8,174.7,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
MK261870_2308362941,MK261870,2308362941,-41.32,174.08,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
MK261871_2304275584,MK261871,2304275584,-41.32,174.08,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
MK262320_2308314365,MK262320,2308314365,-40.24,175.22,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
MK262360_2309325296,MK262360,2309325296,-40.24,175.22,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
MK262584_2306569855,MK262584,2306569855,-41.32,174.08,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
GQ481462_2309882248,GQ481462,2309882248,55.91,39.59,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
GQ481463_2250737700,GQ481463,2250737700,51.5817,37.205,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,g
GQ481464_2308148274,GQ481464,2308148274,58.4,50.43,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
GQ481465_2308744985,GQ481465,2308744985,44.12,41.08,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
GU571311_2309830782,GU571311,2309830782,58.87,9.6,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
GU571312_2310764668,GU571312,2310764668,59.18,9.62,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
GU571790_2304676440,GU571790,2304676440,59.52,18.06,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
GU571791_2309155232,GU571791,2309155232,56.22,16.41,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
KF946618_2251006196,KF946618,2251006196,50.8,5.76,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
KF946619_2251008027,KF946619,2251008027,52.22,6.56,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
