phylogatr_id,accession,source_id,latitude,longitude,basis_of_record,coordinate_uncertainty_in_meters,issue,flag
FJ473077_2249769179,FJ473077,2249769179,-8.308,157.165,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,g
FJ473078_2249769196,FJ473078,2249769196,-8.308,157.165,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,g
FJ473099_2308266689,FJ473099,2308266689,12.48,122.52,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
FJ473106_2310067775,FJ473106,2310067775,12.48,122.57,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
FJ473116_2305099849,FJ473116,2305099849,1.49,103.79,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
FJ473158_2310255200,FJ473158,2310255200,-0.4,99.93,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
FJ473162_2249769109,FJ473162,2249769109,-8.308,157.165,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,g
FJ473163_2249769116,FJ473163,2249769116,-8.308,157.165,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,g
FJ473169_2304316334,FJ473169,2304316334,0.97,121.45,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
FJ473170_2305549759,FJ473170,2305549759,0.97,121.45,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
FJ473171_2304473231,FJ473171,2304473231,0.97,121.45,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
FJ473187_2310340415,FJ473187,2310340415,10.42,124.05,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
FJ473188_2310352003,FJ473188,2310352003,10.42,124.05,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
FJ473189_2308316555,FJ473189,2308316555,10.42,124.05,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
FJ473190_2307357984,FJ473190,2307357984,10.42,124.05,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
FJ473199_2309761361,FJ473199,2309761361,9.9,123.55,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
FJ473234_2308471988,FJ473234,2308471988,-8.07,159.45,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
