phylogatr_id,accession,source_id,latitude,longitude,basis_of_record,coordinate_uncertainty_in_meters,issue,flag
AB842650_2248762259,AB842650,2248762259,36.032,140.276,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
AB842651_2248759330,AB842651,2248759330,26.7785,128.325,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
AB842652_2248761575,AB842652,2248761575,26.73,128.169,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
AB842653_2248761513,AB842653,2248761513,26.724,128.174,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
AB842654_2248761161,AB842654,2248761161,35.907,140.618,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
AB842655_2248761376,AB842655,2248761376,35.907,140.618,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
AB842656_2248762861,AB842656,2248762861,28.305,129.973,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
AB842657_2248760427,AB842657,2248760427,35.907,140.618,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
AB842658_2248761053,AB842658,2248761053,28.31,129.931,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
AB843426_2251606308,AB843426,2251606308,35.867,140.633,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
AB843427_2251605545,AB843427,2251605545,35.417,139.9,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
AB843428_2251605964,AB843428,2251605964,34.517,129.35,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
JF499114_2310111343,JF499114,2310111343,34.14,132.23,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
JF499115_2311072375,JF499115,2311072375,34.14,132.23,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
JF499116_2311240255,JF499116,2311240255,34.14,132.23,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
