phylogatr_id,accession,source_id,latitude,longitude,basis_of_record,coordinate_uncertainty_in_meters,issue,flag
AB842659_2248761849,AB842659,2248761849,43.244,143.553,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
AB842660_2248762243,AB842660,2248762243,43.23,143.295,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
AB842661_2248761776,AB842661,2248761776,43.119,143.616,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
AB842662_2248760912,AB842662,2248760912,43.244,143.553,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
AB843429_2251606753,AB843429,2251606753,41.9,140.683,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
AB843430_2251607196,AB843430,2251607196,43.283,145.15,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
AB843431_2251607672,AB843431,2251607672,43.133,141.217,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
GQ481596_2309796408,GQ481596,2309796408,47,119.37,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
GQ481597_2250737703,GQ481597,2250737703,51.5817,37.205,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,g
GQ481598_2308118187,GQ481598,2308118187,44.37,133.03,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
GQ481599_2310745443,GQ481599,2310745443,49.75,137.12,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
GQ481600_2306438097,GQ481600,2306438097,49.1,142.82,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
GQ481601_2307937013,GQ481601,2307937013,58.48,49.7,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
GQ481602_2309389576,GQ481602,2309389576,48.37,106.3,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
GU571341_2310333981,GU571341,2310333981,59.58,11.25,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
GU571342_2308842246,GU571342,2308842246,59.1,9.8,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
GU571828_2309157117,GU571828,2309157117,58.04,11.87,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
GU571829_2307586047,GU571829,2307586047,59.89,17.64,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
KF946641_2251004607,KF946641,2251004607,51.98,6.2,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
