phylogatr_id,accession,source_id,latitude,longitude,basis_of_record,coordinate_uncertainty_in_meters,issue,flag
EU541454_2310094200,EU541454,2310094200,5.4,116.1,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
FJ472995_2249769252,FJ472995,2249769252,-0.82,117.05,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,d
FJ472996_2308187780,FJ472996,2308187780,22.77,104.83,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
FJ473010_2309671321,FJ473010,2309671321,27.98,85.18,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
FJ473011_2310287006,FJ473011,2310287006,1.28,103.77,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
FJ473012_2309026611,FJ473012,2309026611,26.9,104.85,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
FJ473019_2307357978,FJ473019,2307357978,22.77,104.83,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
FJ473020_2307372536,FJ473020,2307372536,6.28,116.75,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
FJ473021_2308772624,FJ473021,2308772624,6.28,116.75,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
FJ473022_2249769224,FJ473022,2249769224,6.283,116.748,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,d
FJ473024_2249769223,FJ473024,2249769223,5.317,115.667,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,d
FJ473025_2310249240,FJ473025,2310249240,5.32,115.67,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
FJ473026_2249769231,FJ473026,2249769231,4.851,115.699,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,d
FJ473027_2249769217,FJ473027,2249769217,4.398,117.889,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,d
FJ473028_2249769241,FJ473028,2249769241,23.083,113.267,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,d
FJ473029_2249769332,FJ473029,2249769332,23.083,113.267,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,d
FJ473030_2249769212,FJ473030,2249769212,23.083,113.267,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,d
FJ473031_2249769238,FJ473031,2249769238,23.083,113.267,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,d
FJ473032_2249769227,FJ473032,2249769227,23.083,113.267,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,d
FJ473033_2249769311,FJ473033,2249769311,23.083,113.267,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,d
FJ473034_2305675993,FJ473034,2305675993,2.93,113.12,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
FJ473035_2304863810,FJ473035,2304863810,21,105.8,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
FJ473036_2307703190,FJ473036,2307703190,1.28,103.83,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
FJ473037_2249769324,FJ473037,2249769324,-0.55,100.35,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,d
FJ473038_2249769216,FJ473038,2249769216,-0.55,100.35,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,d
FJ473039_2307478676,FJ473039,2307478676,-0.55,100.35,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
FJ473047_2304905610,FJ473047,2304905610,22.53,95.67,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
FJ473048_2306721212,FJ473048,2306721212,22.53,95.67,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
FJ473049_2305983268,FJ473049,2305983268,22.53,95.67,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
FJ473050_2308261831,FJ473050,2308261831,22.53,95.67,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
FJ473051_2249769211,FJ473051,2249769211,22.53,95.67,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,d
FJ473052_2310431327,FJ473052,2310431327,22.53,95.67,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
FJ473245_2305224502,FJ473245,2305224502,-0.82,117.05,MATERIAL_SAMPLE,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,
FJ473246_2307382542,FJ473246,2307382542,22.77,104.83,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,
FJ473260_2308977344,FJ473260,2308977344,27.98,85.18,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,
FJ473261_2309596164,FJ473261,2309596164,1.28,103.77,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,
FJ473262_2307537076,FJ473262,2307537076,26.9,104.85,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,
FJ473269_2308734669,FJ473269,2308734669,22.77,104.83,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,
FJ473270_2308073991,FJ473270,2308073991,5.38,116.11,MATERIAL_SAMPLE,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,
FJ473271_2308058001,FJ473271,2308058001,6.28,116.75,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,
FJ473272_2310876538,FJ473272,2310876538,6.28,116.75,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,
FJ473273_2308710212,FJ473273,2308710212,6.28,116.75,MATERIAL_SAMPLE,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,
FJ473275_2309224747,FJ473275,2309224747,5.32,115.67,MATERIAL_SAMPLE,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,
FJ473276_2310129989,FJ473276,2310129989,5.32,115.67,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,
FJ473277_2310544575,FJ473277,2310544575,4.85,115.7,MATERIAL_SAMPLE,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,
FJ473278_2310346027,FJ473278,2310346027,4.4,117.89,MATERIAL_SAMPLE,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,
FJ473279_2308874521,FJ473279,2308874521,23.08,113.27,MATERIAL_SAMPLE,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,
FJ473280_2309620127,FJ473280,2309620127,23.08,113.27,MATERIAL_SAMPLE,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,
