phylogatr_id,accession,source_id,latitude,longitude,basis_of_record,coordinate_uncertainty_in_meters,issue,flag
AB842671_2248762416,AB842671,2248762416,35.705,139.697,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
AB842672_2248762185,AB842672,2248762185,28.291,129.964,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
AB842673_2248763534,AB842673,2248763534,24.408,124.19,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
AB842674_2248762286,AB842674,2248762286,26.756,128.301,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
AB842675_2248761606,AB842675,2248761606,28.311,129.915,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
AB842676_2248760916,AB842676,2248760916,27.866,128.908,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
AB842677_2248762071,AB842677,2248762071,43.063,141.343,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
AB842678_2248762155,AB842678,2248762155,35.705,139.697,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
AB842679_2248760577,AB842679,2248760577,34.075,139.479,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
AB842680_2248761563,AB842680,2248761563,26.751,128.3,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
AB842681_2248764181,AB842681,2248764181,24.297,123.522,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
AB843437_2251607770,AB843437,2251607770,24.4,123.75,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
AB843438_2251607211,AB843438,2251607211,30.467,130.217,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
AB843439_2251605335,AB843439,2251605335,28.267,129.417,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
AB843440_2251604922,AB843440,2251604922,26.717,128.283,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
AB843441_2251606257,AB843441,2251606257,35.75,139.717,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
GQ481642_2305585333,GQ481642,2305585333,46.02,135.25,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
GQ481643_2308207404,GQ481643,2308207404,46.37,141.87,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
JF499119_2310703976,JF499119,2310703976,34.14,132.23,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
