phylogatr_id,accession,source_id,latitude,longitude,basis_of_record,coordinate_uncertainty_in_meters,issue,flag
MN549609_2633468907,MN549609,2633468907,-27.4448,-54.9403,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
MN549620_2250747144,MN549620,2250747144,-27.551,-58.684,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
MN549621_1415650664,MN549621,1415650664,-26.8,-59.6,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
MN549624_2250747129,MN549624,2250747129,-27.551,-58.684,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
MN549625_2633462949,MN549625,2633462949,-30.85,-62.92,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
MN549626_2250747161,MN549626,2250747161,-27.5801,-58.6599,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
MN549627_2248709477,MN549627,2248709477,-31.89,-58.24,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
MN549629_2250747334,MN549629,2250747334,-25,-58.16,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
MN549630_2248709572,MN549630,2248709572,-31.89,-58.24,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
FJ027440_2305463739,FJ027440,2305463739,-27.55,-58.68,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
FJ027441_2305275802,FJ027441,2305275802,-27.55,-58.68,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
FJ027442_2305391055,FJ027442,2305391055,-27.55,-58.68,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
FJ027443_2305860608,FJ027443,2305860608,-25.68,-54.45,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
FJ027444_2306800347,FJ027444,2306800347,-25.68,-54.45,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
FJ027445_2304629747,FJ027445,2304629747,-25.12,-58.33,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
FJ027446_2306710161,FJ027446,2306710161,-30.65,-58.92,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
FJ027447_2305906042,FJ027447,2305906042,-24.12,-64.46,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
HM396190_1415650774,HM396190,1415650774,-28.02,-58.02,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
HM396201_1415650778,HM396201,1415650778,-28.02,-58.02,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
HM396221_1415650742,HM396221,1415650742,-28.02,-58.02,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
HQ569941_1415646962,HQ569941,1415646962,-27.32,-58.95,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
HQ569942_1415646985,HQ569942,1415646985,-27.32,-58.95,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
JQ627336_2249772227,JQ627336,2249772227,-21.98,-47.87,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,d
JQ627337_2249772185,JQ627337,2249772185,-21.98,-47.87,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,d
JQ627338_2249772190,JQ627338,2249772190,-21.98,-47.87,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,d
JQ627339_2249772204,JQ627339,2249772204,-21.98,-47.87,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,d
JQ627340_2249772183,JQ627340,2249772183,-21.98,-47.87,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,d
