phylogatr_id,accession,source_id,latitude,longitude,basis_of_record,coordinate_uncertainty_in_meters,issue,flag
AB842747_2248762026,AB842747,2248762026,35.907,140.618,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,0
AB842748_2248765430,AB842748,2248765430,35.907,140.618,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,0
AB842749_2248763977,AB842749,2248763977,35.907,140.618,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,0
AB842750_2248762758,AB842750,2248762758,35.907,140.618,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,0
AB842751_2248759933,AB842751,2248759933,35.907,140.618,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,0
AB842752_2248761974,AB842752,2248761974,35.907,140.618,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,0
AB842753_2248762605,AB842753,2248762605,35.907,140.618,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,0
AB842754_2248763588,AB842754,2248763588,35.907,140.618,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,0
AB843495_2251605818,AB843495,2251605818,32.6,131.7,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,0
AB843496_2251605575,AB843496,2251605575,35.083,140.667,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,0
AB843497_2251605476,AB843497,2251605476,35.867,140.633,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,0
GQ481848_2250737986,GQ481848,2250737986,44.75,132.767,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,0
GQ481849_2250737904,GQ481849,2250737904,42.4853,130.701,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,0
GQ481850_2250737989,GQ481850,2250737989,44.7667,132.65,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,0
GQ481851_2250737801,GQ481851,2250737801,47.3667,118.483,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,0
