phylogatr_id,accession,source_id,latitude,longitude,basis_of_record,coordinate_uncertainty_in_meters,issue,flag
KF743558_896430309,KF743558,896430309,38.9355441775,-120.3225947493,PRESERVED_SPECIMEN,72,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_REPROJECTED,0
KF743559_896430336,KF743559,896430336,38.9355441775,-120.3225947493,PRESERVED_SPECIMEN,72,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_REPROJECTED,0
KF743560_896430310,KF743560,896430310,38.9355441775,-120.3225947493,PRESERVED_SPECIMEN,72,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_REPROJECTED,0
KF743561_896433206,KF743561,896433206,36.7040934833,-120.8228672405,PRESERVED_SPECIMEN,3803,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_REPROJECTED;COORDINATE_ROUNDED,0
KF743562_896433239,KF743562,896433239,36.7040934833,-120.8228672405,PRESERVED_SPECIMEN,3803,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_REPROJECTED;COORDINATE_ROUNDED,0
KF743563_896433255,KF743563,896433255,36.7040934833,-120.8228672405,PRESERVED_SPECIMEN,3803,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_REPROJECTED;COORDINATE_ROUNDED,0
KF743564_896433451,KF743564,896433451,33.4453277977,-118.5337076734,PRESERVED_SPECIMEN,1219,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_REPROJECTED,0
KF743565_896433461,KF743565,896433461,33.4453277977,-118.5337076734,PRESERVED_SPECIMEN,1219,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_REPROJECTED,0
KF743566_896433472,KF743566,896433472,33.4453277977,-118.5337076734,PRESERVED_SPECIMEN,1219,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_REPROJECTED,0
KF743567_896433480,KF743567,896433480,33.4453277977,-118.5337076734,PRESERVED_SPECIMEN,1219,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_REPROJECTED,0
