phylogatr_id,accession,source_id,latitude,longitude,basis_of_record,coordinate_uncertainty_in_meters,issue,flag
GQ481863_2304973553,GQ481863,2304973553,54.89,20.3,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
GQ481864_2306518442,GQ481864,2306518442,44.7,38.82,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
GQ481865_2307529322,GQ481865,2307529322,56.53,59.3,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
GQ481866_2305717056,GQ481866,2305717056,54.92,34.02,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
GQ481867_2305928333,GQ481867,2305928333,58.4,50.43,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
GQ481868_2305692951,GQ481868,2305692951,58.96,35.72,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
GQ481869_2250737997,GQ481869,2250737997,51.582,37.205,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,g
GU571382_2307387653,GU571382,2307387653,59.18,9.62,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
GU571383_2305829872,GU571383,2305829872,58.7,9.17,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
GU571876_2304835550,GU571876,2304835550,56.31,15.44,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
GU571877_2307686651,GU571877,2307686651,58.97,18.55,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
KF946661_2251006587,KF946661,2251006587,52.4,4.54,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
KF946662_2251004888,KF946662,2251004888,52.86,6.28,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
KX283119_2304290872,KX283119,2304290872,39.96,43.59,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
KX283120_2304497919,KX283120,2304497919,39.96,43.59,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
KY754507_2311042951,KY754507,2311042951,47.07,15.45,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
