phylogatr_id,accession,source_id,latitude,longitude,basis_of_record,coordinate_uncertainty_in_meters,issue,flag
MF441253_2633193764,MF441253,2633193764,24.79,-107.39,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
MF441254_2633791752,MF441254,2633791752,25.12,-107.75,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
MF441255_2633277745,MF441255,2633277745,25.12,-107.75,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
MF441256_2633181864,MF441256,2633181864,25.12,-107.75,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
MF441257_2633609828,MF441257,2633609828,25.21,-107.19,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
MF441258_2633184824,MF441258,2633184824,25.21,-107.19,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
MF441259_2633619806,MF441259,2633619806,25.21,-107.19,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
MF441260_2633289835,MF441260,2633289835,24.51,-107.12,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
MF441261_2633801773,MF441261,2633801773,24.8,-107.13,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
MF441262_2633797730,MF441262,2633797730,24.2,-106.45,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
MF441263_2633292792,MF441263,2633292792,24.2,-106.45,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
MF441264_2633178748,MF441264,2633178748,18.49,-103.34,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
MF441265_2633642773,MF441265,2633642773,18.49,-103.34,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
MF441266_2633174724,MF441266,2633174724,18.49,-103.34,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
MF441267_2633643789,MF441267,2633643789,18.49,-103.34,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
MF441268_2633268795,MF441268,2633268795,18.49,-103.34,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
MF441269_2633802761,MF441269,2633802761,18.49,-103.34,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
MF441270_2633613806,MF441270,2633613806,18.49,-103.34,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
MF441271_2633185707,MF441271,2633185707,18.7,-103.59,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
MF441272_2633168753,MF441272,2633168753,18.7,-103.59,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
MF441273_2633636740,MF441273,2633636740,18.7,-103.59,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
