phylogatr_id,accession,source_id,latitude,longitude,basis_of_record,coordinate_uncertainty_in_meters,issue,flag
KJ586860_2311232547,KJ586860,2311232547,-36.93,149.68,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,0
KJ586861_2308428534,KJ586861,2308428534,-36.93,149.68,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,0
KJ586862_2308662193,KJ586862,2308662193,-24.34,150.95,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,0
KJ586863_2311078543,KJ586863,2311078543,-24.34,150.95,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,0
KJ586864_2308342532,KJ586864,2308342532,-24.34,150.95,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,0
KJ586865_2309459829,KJ586865,2309459829,-34.85,150.41,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,0
KJ586866_2308420827,KJ586866,2308420827,-37.17,149.32,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84;TAXON_MATCH_HIGHERRANK,0
KJ586867_2309583309,KJ586867,2309583309,-37.17,149.32,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84;TAXON_MATCH_HIGHERRANK,0
KJ586868_2311036001,KJ586868,2311036001,-37.37,149.2,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84;TAXON_MATCH_HIGHERRANK,0
KJ586869_2310725957,KJ586869,2310725957,-37.37,149.2,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84;TAXON_MATCH_HIGHERRANK,0
KJ586870_2304814130,KJ586870,2304814130,-37.63,147.53,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84;TAXON_MATCH_HIGHERRANK,0
KJ586871_2306070024,KJ586871,2306070024,-37.63,147.53,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84;TAXON_MATCH_HIGHERRANK,0
KJ586872_2306110821,KJ586872,2306110821,-32.8,151.38,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,0
KJ586873_2304808203,KJ586873,2304808203,-32.8,151.38,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,0
KJ586874_2304234876,KJ586874,2304234876,-32.8,151.38,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,0
KJ586875_2304696656,KJ586875,2304696656,-32.8,151.38,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,0
KJ586876_2307881079,KJ586876,2307881079,-32.63,151.8,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,0
KJ586877_2304662274,KJ586877,2304662274,-32.63,151.8,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,0
KJ586878_2304273122,KJ586878,2304273122,-30.28,150.09,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,0
KJ586879_2307103027,KJ586879,2307103027,-28.95,152.4,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,0
KJ586880_2304836201,KJ586880,2304836201,-28.95,152.4,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,0
KJ586881_2304356518,KJ586881,2304356518,-28.95,152.39,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,0
KJ586882_2306561661,KJ586882,2306561661,-28.95,152.39,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,0
KJ586883_2307680516,KJ586883,2307680516,-33.4,148.47,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,0
KJ586884_2306318168,KJ586884,2306318168,-32.72,151.15,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,0
KJ586890_2307546691,KJ586890,2307546691,-37.62,146.63,MATERIAL_SAMPLE,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84;TAXON_MATCH_HIGHERRANK,0
KJ586891_2304182358,KJ586891,2304182358,-37.62,146.63,MATERIAL_SAMPLE,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84;TAXON_MATCH_HIGHERRANK,0
KJ586892_2307311386,KJ586892,2307311386,-37.62,146.63,MATERIAL_SAMPLE,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84;TAXON_MATCH_HIGHERRANK,0
KJ586893_2304404002,KJ586893,2304404002,-37.62,146.63,MATERIAL_SAMPLE,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84;TAXON_MATCH_HIGHERRANK,0
KJ586894_2304750446,KJ586894,2304750446,-37.65,148.1,MATERIAL_SAMPLE,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84;TAXON_MATCH_HIGHERRANK,0
KJ586895_2306422052,KJ586895,2306422052,-37.62,146.63,MATERIAL_SAMPLE,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84;TAXON_MATCH_HIGHERRANK,0
KJ586896_2307010197,KJ586896,2307010197,-37.65,148.1,MATERIAL_SAMPLE,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84;TAXON_MATCH_HIGHERRANK,0
KJ586897_2304906447,KJ586897,2304906447,-37.65,148.1,MATERIAL_SAMPLE,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84;TAXON_MATCH_HIGHERRANK,0
KJ586898_2304164377,KJ586898,2304164377,-37.65,148.1,MATERIAL_SAMPLE,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84;TAXON_MATCH_HIGHERRANK,0
KJ586899_2304240950,KJ586899,2304240950,-37.73,145.83,MATERIAL_SAMPLE,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84;TAXON_MATCH_HIGHERRANK,0
KJ586900_2311089460,KJ586900,2311089460,-37.65,148.1,MATERIAL_SAMPLE,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84;TAXON_MATCH_HIGHERRANK,0
KJ586901_2308234520,KJ586901,2308234520,-37.65,148.1,MATERIAL_SAMPLE,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84;TAXON_MATCH_HIGHERRANK,0
KJ586902_2308899361,KJ586902,2308899361,-37.65,148.1,MATERIAL_SAMPLE,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84;TAXON_MATCH_HIGHERRANK,0
KJ586903_2310200760,KJ586903,2310200760,-37.73,145.83,MATERIAL_SAMPLE,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84;TAXON_MATCH_HIGHERRANK,0
KJ586904_2305438277,KJ586904,2305438277,-37.66,145.85,MATERIAL_SAMPLE,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84;TAXON_MATCH_HIGHERRANK,0
KJ586905_2306008090,KJ586905,2306008090,-37.66,145.85,MATERIAL_SAMPLE,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84;TAXON_MATCH_HIGHERRANK,0
KJ586906_2304445572,KJ586906,2304445572,-37.66,145.85,MATERIAL_SAMPLE,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84;TAXON_MATCH_HIGHERRANK,0
KJ586907_2304497219,KJ586907,2304497219,-37.66,145.85,MATERIAL_SAMPLE,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84;TAXON_MATCH_HIGHERRANK,0
KJ586908_2308255591,KJ586908,2308255591,-37.62,146.63,MATERIAL_SAMPLE,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84;TAXON_MATCH_HIGHERRANK,0
KJ586909_2307178639,KJ586909,2307178639,-37.68,145.86,MATERIAL_SAMPLE,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84;TAXON_MATCH_HIGHERRANK,0
KJ586910_2305824049,KJ586910,2305824049,-37.62,146.63,MATERIAL_SAMPLE,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84;TAXON_MATCH_HIGHERRANK,0
KJ586911_2307001587,KJ586911,2307001587,-37.62,146.63,MATERIAL_SAMPLE,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84;TAXON_MATCH_HIGHERRANK,0
KJ586912_2308027225,KJ586912,2308027225,-37.62,146.63,MATERIAL_SAMPLE,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84;TAXON_MATCH_HIGHERRANK,0
KJ586913_2307534977,KJ586913,2307534977,-37.85,144.25,MATERIAL_SAMPLE,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,0
KJ586914_2306353262,KJ586914,2306353262,-36.23,146.2,MATERIAL_SAMPLE,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,0
KJ586915_2307104585,KJ586915,2307104585,-33.12,150.29,MATERIAL_SAMPLE,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,0
KJ586916_2306051801,KJ586916,2306051801,-33.12,150.29,MATERIAL_SAMPLE,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,0
KJ586917_2304536984,KJ586917,2304536984,-33.12,150.29,MATERIAL_SAMPLE,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,0
KJ586941_2311243690,KJ586941,2311243690,-36.85,144.48,MATERIAL_SAMPLE,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,0
KJ586942_2309958335,KJ586942,2309958335,-36.74,144.67,MATERIAL_SAMPLE,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,0
KJ586943_2308124114,KJ586943,2308124114,-36.97,143.81,MATERIAL_SAMPLE,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,0
KJ586944_2311033356,KJ586944,2311033356,-36.84,143.83,MATERIAL_SAMPLE,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,0
KJ586945_2307909013,KJ586945,2307909013,-36.77,143.32,MATERIAL_SAMPLE,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,0
KJ586946_2311149993,KJ586946,2311149993,-36.67,145.13,MATERIAL_SAMPLE,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,0
KJ586947_2308553967,KJ586947,2308553967,-36.56,143.63,MATERIAL_SAMPLE,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,0
KJ586948_2309610215,KJ586948,2309610215,-36.78,144.08,MATERIAL_SAMPLE,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,0
KJ586949_2310299979,KJ586949,2310299979,-37,143.75,MATERIAL_SAMPLE,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,0
KJ586950_2306214956,KJ586950,2306214956,-36.8,144.94,MATERIAL_SAMPLE,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,0
KJ586951_2307444132,KJ586951,2307444132,-36.78,144.08,MATERIAL_SAMPLE,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,0
KJ586952_2304410143,KJ586952,2304410143,-36.79,143.41,MATERIAL_SAMPLE,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,0
KJ586953_2307952185,KJ586953,2307952185,-36.75,143.54,MATERIAL_SAMPLE,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,0
KJ586954_2305722283,KJ586954,2305722283,-36.56,143.76,MATERIAL_SAMPLE,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,0
KJ586955_2306866427,KJ586955,2306866427,-36.59,143.58,MATERIAL_SAMPLE,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,0
KJ586956_2304790856,KJ586956,2304790856,-36.53,143.73,MATERIAL_SAMPLE,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,0
KJ586957_2305574737,KJ586957,2305574737,-36.75,144.89,MATERIAL_SAMPLE,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,0
