phylogatr_id,accession,source_id,latitude,longitude,basis_of_record,coordinate_uncertainty_in_meters,issue,flag
AB842842_2248761306,AB842842,2248761306,35.187,139.932,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
AB842844_2248760235,AB842844,2248760235,31.409,130.141,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
AB842846_2248761265,AB842846,2248761265,35.708,138.523,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
AB842847_2248762834,AB842847,2248762834,35.746,140.406,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
AB842848_2248762329,AB842848,2248762329,35.746,140.406,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
AB843545_2251605087,AB843545,2251605087,35.4,139.367,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
AB843546_2251605603,AB843546,2251605603,34.4,132.383,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
AB843547_2251605361,AB843547,2251605361,35.167,137.183,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
DQ434603_2311193968,DQ434603,2311193968,45.23,-75.53,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
FJ027653_2306391791,FJ027653,2306391791,-27.58,-58.66,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
FJ027654_2307918357,FJ027654,2307918357,-27.58,-58.66,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
FJ027655_2307096065,FJ027655,2307096065,-27.58,-58.66,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
GQ481982_2304949761,GQ481982,2304949761,48.03,118.18,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
GQ481983_2307329015,GQ481983,2307329015,59.13,151.92,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
GQ481984_2307337351,GQ481984,2307337351,49.75,137.12,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
GQ481985_2305484097,GQ481985,2305484097,44.88,75.12,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
GQ481986_2306681248,GQ481986,2306681248,44.12,41.08,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
GU571202_2305502440,GU571202,2305502440,44.57,-76.32,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
GU571203_2306566858,GU571203,2306566858,44.57,-76.32,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
GU571432_2308015289,GU571432,2308015289,58.77,5.75,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
GU571433_2310529291,GU571433,2310529291,58.77,5.75,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
GU571924_2309230254,GU571924,2309230254,59.66,17.98,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
GU571925_2310174096,GU571925,2310174096,62.82,15.07,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
HM033480_2309736161,HM033480,2309736161,35.58,-83.07,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
JF498781_2307059236,JF498781,2307059236,33.94,44.36,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
JF498782_2305825160,JF498782,2305825160,33.94,44.36,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
JF498783_2307148415,JF498783,2307148415,33.94,44.36,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
JF499136_2307112224,JF499136,2307112224,34.14,132.23,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
JF499137_2308498845,JF499137,2308498845,34.14,132.23,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
KF946706_2251006493,KF946706,2251006493,52.3,4.88,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
KF946707_2251005873,KF946707,2251005873,53,6.3,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
KF946708_2251006344,KF946708,2251006344,53,6.3,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
KF946709_2251007536,KF946709,2251007536,51.94,5.34,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
KF946710_2251005593,KF946710,2251005593,53.2,6,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
AY666483_2250587296,AY666483,2250587296,43.85,-79.0167,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
AY666485_2250587524,AY666485,2250587524,44.287,-79.649,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
