phylogatr_id,accession,source_id,latitude,longitude,basis_of_record,coordinate_uncertainty_in_meters,issue,flag
DQ433700_2250743613,DQ433700,2250743613,10.5204,-85.3835,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,g
DQ433701_2304294274,DQ433701,2304294274,8.95,-82.12,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
KF919126_2310076684,KF919126,2310076684,8.18,-81.87,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
KF919128_2309955664,KF919128,2309955664,15.75,-86.92,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
KF919129_2308826074,KF919129,2308826074,8.18,-81.87,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
KF919132_2307599864,KF919132,2307599864,8.3,-82.17,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
KF919134_2248819444,KF919134,2248819444,8.057,-81.616,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
KF919135_2304470533,KF919135,2304470533,8.06,-81.62,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
KF919138_2306748470,KF919138,2306748470,8.06,-81.64,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
KF919139_2306083339,KF919139,2306083339,8.06,-81.62,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
KF919140_2304260721,KF919140,2304260721,8.06,-81.62,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
KF919141_2248818387,KF919141,2248818387,8.057,-81.616,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
KF919142_2248817897,KF919142,2248817897,8.06,-81.64,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
KF919143_2305128924,KF919143,2305128924,8.3,-82.17,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
KF919144_2306925069,KF919144,2306925069,8.18,-81.87,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
KF919145_2306342657,KF919145,2306342657,8.18,-81.87,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
KF919146_2305528573,KF919146,2305528573,8.3,-82.17,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
KF919150_2307082390,KF919150,2307082390,8.3,-82.17,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
KF919151_2306442245,KF919151,2306442245,15.75,-86.92,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
KF919154_2248819142,KF919154,2248819142,8.057,-81.616,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
KF919160_2310153934,KF919160,2310153934,8.3,-82.17,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
KF919161_2309380077,KF919161,2309380077,8.02,-81.55,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
KF919162_2248819321,KF919162,2248819321,8.057,-81.616,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
