phylogatr_id,accession,source_id,latitude,longitude,basis_of_record,coordinate_uncertainty_in_meters,issue,flag
MN549597_2250747305,MN549597,2250747305,-25,-58.16,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
MN549606_1415650959,MN549606,1415650959,-23.7558,-64.8543,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
MN549610_2248709081,MN549610,2248709081,-31.89,-58.24,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
MN549612_2248709136,MN549612,2248709136,-27.55,-58.68,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
MN549623_1415650540,MN549623,1415650540,-34.04,-67.97,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
MN549631_1415651005,MN549631,1415651005,-23.7558,-64.8543,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
MN549636_1415651018,MN549636,1415651018,-24.3117,-61.8123,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
FJ027713_2311084541,FJ027713,2311084541,-27.55,-58.68,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
FJ027714_2310002269,FJ027714,2310002269,-27.55,-58.68,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
FJ027715_2309228498,FJ027715,2309228498,-25.12,-58.33,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
FJ027716_2310168769,FJ027716,2310168769,-33.73,-59.26,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
FJ027717_2309892094,FJ027717,2309892094,-33.73,-59.26,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
FJ027718_2311219083,FJ027718,2311219083,-25.1,-58.2,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
FJ027719_2308537257,FJ027719,2308537257,-27.55,-58.68,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
HM396195_1415650735,HM396195,1415650735,-28.02,-58.02,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
HQ569928_1415646963,HQ569928,1415646963,-27.32,-58.95,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
HQ569972_1415647009,HQ569972,1415647009,-26.81,-59.61,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
JN313563_1415651048,JN313563,1415651048,-24.3117,-61.8123,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
JN801767_2250769460,JN801767,2250769460,-8.885,-43.455,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,g
JN801768_2304892074,JN801768,2304892074,-15.21,-59.66,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
KR105963_2250747217,KR105963,2250747217,-27.551,-58.684,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
