phylogatr_id,accession,source_id,latitude,longitude,basis_of_record,coordinate_uncertainty_in_meters,issue,flag
GQ482088_2306883329,GQ482088,2306883329,50.03,95.03,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
GQ482089_2304737846,GQ482089,2304737846,43.82,40.72,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
GQ482090_2305295413,GQ482090,2305295413,44.12,39.9,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
GQ482091_2307720657,GQ482091,2307720657,44.12,41.08,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
GU571460_2304319111,GU571460,2304319111,59.32,4.88,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
GU571461_2304929901,GU571461,2304929901,59.32,4.88,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
GU571955_2307671679,GU571955,2307671679,56.22,16.41,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
KF946743_2251006701,KF946743,2251006701,52.32,5.16,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
KF946744_2251006479,KF946744,2251006479,52.32,5.16,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
KF946745_2251008088,KF946745,2251008088,51.68,3.7,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
KF946746_2251005738,KF946746,2251005738,52.52,4.6,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
KF946747_2251006503,KF946747,2251006503,52.72,4.62,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
KF946748_2251006703,KF946748,2251006703,52.4,4.54,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
KF946749_2251008231,KF946749,2251008231,52.4,4.54,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
KF946750_2251005574,KF946750,2251005574,52.52,4.6,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
