phylogatr_id,accession,source_id,latitude,longitude,basis_of_record,coordinate_uncertainty_in_meters,issue,flag
KU527156_896329830,KU527156,896329830,-9.01802,-77.53933,PRESERVED_SPECIMEN,150,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT,
KU527173_1145118378,KU527173,1145118378,-13.249333,-72.169167,PRESERVED_SPECIMEN,300,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED,
KU527174_1145118402,KU527174,1145118402,-13.249333,-72.169167,PRESERVED_SPECIMEN,300,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED,
KU527175_896325762,KU527175,896325762,-13.249333,-72.169167,PRESERVED_SPECIMEN,300,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED,
KU527176_896325763,KU527176,896325763,-13.249333,-72.169167,PRESERVED_SPECIMEN,300,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED,
KU527180_896325768,KU527180,896325768,-13.249333,-72.169167,PRESERVED_SPECIMEN,300,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED,
KU527183_896325769,KU527183,896325769,-13.249333,-72.169167,PRESERVED_SPECIMEN,300,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED,
KU527185_1145118362,KU527185,1145118362,-13.249333,-72.169167,PRESERVED_SPECIMEN,300,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED,
KU527186_896325771,KU527186,896325771,-13.249333,-72.169167,PRESERVED_SPECIMEN,300,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED,
KU527187_896325773,KU527187,896325773,-13.249333,-72.169167,PRESERVED_SPECIMEN,300,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED,
KU527189_1145118372,KU527189,1145118372,-13.249333,-72.169167,PRESERVED_SPECIMEN,300,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED,
KU527190_896325776,KU527190,896325776,-13.249333,-72.169167,PRESERVED_SPECIMEN,300,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED,
KU527191_1145118388,KU527191,1145118388,-13.249333,-72.169167,PRESERVED_SPECIMEN,300,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED,
KU527192_896328773,KU527192,896328773,-9.726717,-76.1065,PRESERVED_SPECIMEN,10,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED,
KU527195_896328785,KU527195,896328785,-9.726883,-76.106217,PRESERVED_SPECIMEN,10,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED,
KU527197_896325981,KU527197,896325981,-11.742833,-76.606167,PRESERVED_SPECIMEN,20,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED,
KU527198_896328946,KU527198,896328946,-6.08175,-78.318867,PRESERVED_SPECIMEN,500,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED,
KU527199_896448812,KU527199,896448812,-11.758317,-76.584633,PRESERVED_SPECIMEN,0,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED,m
KU527204_896329226,KU527204,896329226,-13.4873,-72.982,PRESERVED_SPECIMEN,7,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT,
KU527205_896329229,KU527205,896329229,-13.4845,-72.9823,PRESERVED_SPECIMEN,7,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT,
KU527212_896329242,KU527212,896329242,-13.4883,-72.9822,PRESERVED_SPECIMEN,7,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT,
KU527213_1145120691,KU527213,1145120691,-13.48635,-72.98115,PRESERVED_SPECIMEN,6,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT,
KU527214_896329246,KU527214,896329246,-13.4864,-72.9812,PRESERVED_SPECIMEN,6,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT,
KU527217_1145120639,KU527217,1145120639,-13.482733,-72.981283,PRESERVED_SPECIMEN,6,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED,
KU527218_896329257,KU527218,896329257,-13.4883,-72.9822,PRESERVED_SPECIMEN,7,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT,
KU527219_896329258,KU527219,896329258,-13.4883,-72.9822,PRESERVED_SPECIMEN,7,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT,
KU527227_896329754,KU527227,896329754,-13.10655,-72.3576,PRESERVED_SPECIMEN,200,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT,
KU527228_896329753,KU527228,896329753,-13.10655,-72.3576,PRESERVED_SPECIMEN,200,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT,
KU527229_896329757,KU527229,896329757,-13.10655,-72.3576,PRESERVED_SPECIMEN,200,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT,
KU527230_896329758,KU527230,896329758,-13.10655,-72.3576,PRESERVED_SPECIMEN,200,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT,
KU527231_896329761,KU527231,896329761,-13.08487,-72.36698,PRESERVED_SPECIMEN,200,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT,
KU527232_896329764,KU527232,896329764,-13.22108,-71.62788,PRESERVED_SPECIMEN,150,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT,
KU527233_1145121825,KU527233,1145121825,-13.177583,-72.596,PRESERVED_SPECIMEN,150,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED,
