phylogatr_id,accession,source_id,latitude,longitude,basis_of_record,coordinate_uncertainty_in_meters,issue,flag
JN801813_2310789515,JN801813,2310789515,-2.95,-48.95,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
JN801814_2309966932,JN801814,2309966932,-0.22,-63.04,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
JN801815_2310552363,JN801815,2310552363,-3.13,-62.78,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
JN801816_2309628711,JN801816,2309628711,-3.13,-62.78,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
JN801817_2248811940,JN801817,2248811940,4.06,-59.025,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,g
JN801818_2248811927,JN801818,2248811927,4.06,-59.025,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,g
JX487617_2304406084,JX487617,2304406084,-0.64,-76.15,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
JX487618_2304266423,JX487618,2304266423,-0.68,-77.25,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
JX487619_2307170458,JX487619,2307170458,-0.38,-76.18,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
JX487620_2305291168,JX487620,2305291168,-0.68,-77.25,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
JX487621_2306305239,JX487621,2306305239,-0.68,-76.4,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
JX487622_2306287364,JX487622,2306287364,-0.38,-76.18,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
JX487623_2307500980,JX487623,2307500980,-0.68,-76.4,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
JX487624_2307634868,JX487624,2307634868,-0.38,-76.18,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
JX487626_2309369888,JX487626,2309369888,-0.38,-76.18,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
JX487627_2310454415,JX487627,2310454415,-0.68,-76.4,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
JX487628_2309867061,JX487628,2309867061,-0.38,-76.18,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
JX487629_2308799749,JX487629,2308799749,-0.68,-77.25,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
JX487630_2309246034,JX487630,2309246034,-0.38,-76.18,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
JX487631_2311155367,JX487631,2311155367,-0.68,-77.25,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
JX487632_2308816158,JX487632,2308816158,-0.68,-77.25,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
JX487633_2309510147,JX487633,2309510147,-0.64,-76.15,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
JX487634_2310592867,JX487634,2310592867,-0.38,-76.18,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
JX487635_2310686773,JX487635,2310686773,-0.68,-77.25,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
JX487636_2309212790,JX487636,2309212790,-0.68,-76.4,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
JX487637_2310821721,JX487637,2310821721,-0.64,-76.15,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
JX487638_2308107273,JX487638,2308107273,-0.68,-77.25,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
JX487639_2310823897,JX487639,2310823897,-1.02,-77.62,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
JX487640_2307971405,JX487640,2307971405,-1.02,-77.62,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
JX487641_2310458596,JX487641,2310458596,-0.64,-76.15,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
JX487642_2308264117,JX487642,2308264117,-0.68,-77.25,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
JX487643_2308785491,JX487643,2308785491,-0.64,-76.15,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
JX487644_2310963100,JX487644,2310963100,-0.64,-76.15,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
