phylogatr_id,accession,source_id,latitude,longitude,basis_of_record,coordinate_uncertainty_in_meters,issue,flag
DQ433024_2308726253,DQ433024,2308726253,27.86,-82.5,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
DQ433802_2310532180,DQ433802,2310532180,43.8,-79.2,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
DQ434679_2250737218,DQ434679,2250737218,42.856,-79.552,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,g
HM033574_2305016649,HM033574,2305016649,36.1,-78.72,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
HM033575_2304789799,HM033575,2304789799,35.63,-83.1,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
HM033576_2305997194,HM033576,2305997194,35.51,-83.31,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
HM033577_2304923951,HM033577,2304923951,49.36,-57.57,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
HM033578_2306274112,HM033578,2306274112,49.36,-57.57,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
HM033579_2304160421,HM033579,2304160421,44.16,-66.22,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
HM033580_2304897842,HM033580,2304897842,44.16,-66.22,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
HM033581_2306191603,HM033581,2306191603,44.16,-66.22,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
HM033582_2306956364,HM033582,2306956364,49.36,-57.57,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
HM033583_2305280176,HM033583,2305280176,45.43,-73.94,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
AY666186_2251565445,AY666186,2251565445,50,-86,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
AY666188_2251565710,AY666188,2251565710,45.6333,-80.0833,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
