phylogatr_id,accession,source_id,latitude,longitude,basis_of_record,coordinate_uncertainty_in_meters,issue,flag
AB842950_2248761720,AB842950,2248761720,28.355,129.396,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
AB843604_2251606344,AB843604,2251606344,24.417,123.817,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
AB843605_2251605430,AB843605,2251605430,24.467,122.983,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
AB843606_2251605201,AB843606,2251605201,36.833,138.5,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
EU541458_2249773051,EU541458,2249773051,14.1362,122.021,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,d
GQ482192_2310439585,GQ482192,2310439585,42.99,75.89,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
GQ482193_2309366836,GQ482193,2309366836,51.33,137.08,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
GQ482194_2310095422,GQ482194,2310095422,59.13,151.92,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
GQ482195_2309954618,GQ482195,2309954618,51.05,85.65,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
GQ482196_2308250682,GQ482196,2308250682,53.08,157.77,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
GQ482197_2308618705,GQ482197,2308618705,45.07,147.58,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
GU571488_2308756412,GU571488,2308756412,59.58,11,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
GU571489_2309104092,GU571489,2309104092,59.58,11,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
GU571490_2310047433,GU571490,2310047433,59.6,10.93,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
JF498800_2308628259,JF498800,2308628259,33.94,44.36,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
JF957024_2305410417,JF957024,2305410417,14.65,121.07,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
JF957025_2307645064,JF957025,2307645064,14.65,121.07,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
KF946760_2251005828,KF946760,2251005828,51.68,3.7,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
KF946761_2251007259,KF946761,2251007259,51.68,3.7,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
KF946762_2251005927,KF946762,2251005927,51.68,3.7,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
KF946763_2251009374,KF946763,2251009374,51.68,3.7,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
