phylogatr_id,accession,source_id,latitude,longitude,basis_of_record,coordinate_uncertainty_in_meters,issue,flag
JQ655939_896447428,JQ655939,896447428,49.4662,-63.1239,PRESERVED_SPECIMEN,110095,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT,0
JQ655940_896447468,JQ655940,896447468,49.4662,-63.1239,PRESERVED_SPECIMEN,110095,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT,0
JQ655941_896447687,JQ655941,896447687,49.4662,-63.1239,PRESERVED_SPECIMEN,110095,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT,0
JQ655942_896447723,JQ655942,896447723,49.4662,-63.1239,PRESERVED_SPECIMEN,110095,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT,0
JQ655943_896447165,JQ655943,896447165,51.238611,-80.556944,PRESERVED_SPECIMEN,0,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;GEODETIC_DATUM_INVALID,0
JQ655944_896447410,JQ655944,896447410,49.03672,-73.36252,PRESERVED_SPECIMEN,0,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT,0
JQ655945_896447375,JQ655945,896447375,49.16703,-73.63317,PRESERVED_SPECIMEN,0,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT,0
JQ655946_896447478,JQ655946,896447478,48.46739,-80.83315,PRESERVED_SPECIMEN,0,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT,0
JQ655947_896447294,JQ655947,896447294,49.21149,-73.69444,PRESERVED_SPECIMEN,0,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT,0
JQ655948_896447309,JQ655948,896447309,49.21149,-73.69444,PRESERVED_SPECIMEN,0,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT,0
JQ655949_896447460,JQ655949,896447460,48.46739,-80.83315,PRESERVED_SPECIMEN,0,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT,0
JQ655950_896447511,JQ655950,896447511,48.45547,-80.8237,PRESERVED_SPECIMEN,0,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT,0
JQ655951_896447341,JQ655951,896447341,49.16703,-73.63317,PRESERVED_SPECIMEN,0,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT,0
JQ655952_896447528,JQ655952,896447528,48.4503,-80.81958,PRESERVED_SPECIMEN,0,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT,0
