phylogatr_id,accession,source_id,latitude,longitude,basis_of_record,coordinate_uncertainty_in_meters,issue,flag
AB843081_2248762941,AB843081,2248762941,43.366,143.191,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
AB843082_2248761913,AB843082,2248761913,43.366,143.186,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
AB843084_2248762148,AB843084,2248762148,43.468,143.141,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
AB843085_2248763612,AB843085,2248763612,43.361,143.253,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
AB843086_2248762871,AB843086,2248762871,43.36,143.254,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
AB843087_2248760109,AB843087,2248760109,43.359,143.254,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
AB843088_2248761139,AB843088,2248761139,43.366,143.191,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
AB843089_2248761340,AB843089,2248761340,43.365,143.188,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
AB843090_2248762303,AB843090,2248762303,43.366,143.191,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
AB843700_2251606286,AB843700,2251606286,43,141.317,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
AB843701_2251604856,AB843701,2251604856,43.117,141.25,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
AB843702_2251606800,AB843702,2251606800,43.167,144.15,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
GQ482484_2310509827,GQ482484,2310509827,50.93,137.45,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
GQ482486_2307916174,GQ482486,2307916174,57.47,97.3,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
GU571574_2310013512,GU571574,2310013512,59.67,9.63,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
AY940787_2249765754,AY940787,2249765754,57.4667,97.3,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
