phylogatr_id,accession,source_id,latitude,longitude,basis_of_record,coordinate_uncertainty_in_meters,issue,flag
MK261797_2251024678,MK261797,2251024678,-46.77,167.635,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,g
MK261997_2305517501,MK261997,2305517501,-36.2,175.08,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
MK262144_2309395768,MK262144,2309395768,-36.2,175.08,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
MK262157_2251024136,MK262157,2251024136,-46.77,167.635,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,g
MK262181_2304238726,MK262181,2304238726,-36.2,175.08,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
MK262278_2251024142,MK262278,2251024142,-46.77,167.635,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,g
MK262341_2307859455,MK262341,2307859455,-36.49,174.47,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
MK262373_2251025001,MK262373,2251025001,-46.77,167.635,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,g
MK262397_2306938134,MK262397,2306938134,-36.2,175.08,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
MK262475_2307538948,MK262475,2307538948,-36.2,175.08,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
MK262558_2251024439,MK262558,2251024439,-46.77,167.635,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,g
