phylogatr_id,accession,source_id,latitude,longitude,basis_of_record,coordinate_uncertainty_in_meters,issue,flag
KT319261_896328726,KT319261,896328726,-12.001483,-76.920817,PRESERVED_SPECIMEN,50,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED,0
KT319262_896328729,KT319262,896328729,-12.001483,-76.920817,PRESERVED_SPECIMEN,50,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED,0
KT319263_896329015,KT319263,896329015,-12.0089,-76.923233,PRESERVED_SPECIMEN,30,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED,0
KT319264_896329020,KT319264,896329020,-12.0089,-76.923233,PRESERVED_SPECIMEN,30,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED,0
KT319265_896329025,KT319265,896329025,-12.0089,-76.923233,PRESERVED_SPECIMEN,30,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED,0
KT319266_896329029,KT319266,896329029,-12.0089,-76.923233,PRESERVED_SPECIMEN,30,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED,0
KT319267_896329186,KT319267,896329186,-5.89369,-79.78948,PRESERVED_SPECIMEN,4,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT,0
KT319268_896329180,KT319268,896329180,-5.88959,-79.79124,PRESERVED_SPECIMEN,6,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT,0
KT319269_896329176,KT319269,896329176,-5.89645,-79.78509,PRESERVED_SPECIMEN,6,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT,0
KT319270_896329188,KT319270,896329188,-5.88983,-79.79046,PRESERVED_SPECIMEN,4,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT,0
KT319271_896329209,KT319271,896329209,-5.89728,-79.78525,PRESERVED_SPECIMEN,6,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT,0
KT319272_896329211,KT319272,896329211,-5.89858,-79.78517,PRESERVED_SPECIMEN,8,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT,0
KT319273_1145120644,KT319273,1145120644,-10.021617,-78.049767,PRESERVED_SPECIMEN,150,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED,0
KT319274_896329319,KT319274,896329319,-10.021617,-78.049767,PRESERVED_SPECIMEN,150,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED,0
KT319275_896325556,KT319275,896325556,33.631497,-107.004689,PRESERVED_SPECIMEN,5,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED,0
KT319276_896326146,KT319276,896326146,33.631133,-107.004583,PRESERVED_SPECIMEN,50,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED,0
KT319277_896326145,KT319277,896326145,33.631133,-107.004583,PRESERVED_SPECIMEN,50,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED,0
KT319278_896315841,KT319278,896315841,35.301957,-106.570301,PRESERVED_SPECIMEN,761,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED,0
KT319279_896315827,KT319279,896315827,32.687931,-108.742676,PRESERVED_SPECIMEN,5000,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED,0
KT319280_1145118561,KT319280,1145118561,-12.001483,-76.920817,PRESERVED_SPECIMEN,50,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED,0
KT319281_896329412,KT319281,896329412,-8.38685,-78.64518,PRESERVED_SPECIMEN,300,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT,0
KT319282_896329420,KT319282,896329420,-8.38685,-78.64518,PRESERVED_SPECIMEN,300,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT,0
KT319283_896329556,KT319283,896329556,-17.561362,-70.672362,PRESERVED_SPECIMEN,150,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED,0
KT319284_896329569,KT319284,896329569,-17.561362,-70.672362,PRESERVED_SPECIMEN,150,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED,0
KT319285_896329678,KT319285,896329678,-17.39005,-70.3458,PRESERVED_SPECIMEN,6,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT,0
KT319286_896330176,KT319286,896330176,-11.711467,-69.2119,PRESERVED_SPECIMEN,300,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED,0
KT319287_896330181,KT319287,896330181,-11.711117,-69.211633,PRESERVED_SPECIMEN,10,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED,0
KT319328_896328726,KT319328,896328726,-12.001483,-76.920817,PRESERVED_SPECIMEN,50,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED,0
KT319329_896328729,KT319329,896328729,-12.001483,-76.920817,PRESERVED_SPECIMEN,50,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED,0
KT319330_896329015,KT319330,896329015,-12.0089,-76.923233,PRESERVED_SPECIMEN,30,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED,0
KT319331_896329020,KT319331,896329020,-12.0089,-76.923233,PRESERVED_SPECIMEN,30,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED,0
KT319332_896329025,KT319332,896329025,-12.0089,-76.923233,PRESERVED_SPECIMEN,30,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED,0
KT319333_896329029,KT319333,896329029,-12.0089,-76.923233,PRESERVED_SPECIMEN,30,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED,0
KT319334_896329186,KT319334,896329186,-5.89369,-79.78948,PRESERVED_SPECIMEN,4,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT,0
KT319335_896329180,KT319335,896329180,-5.88959,-79.79124,PRESERVED_SPECIMEN,6,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT,0
KT319336_896329176,KT319336,896329176,-5.89645,-79.78509,PRESERVED_SPECIMEN,6,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT,0
KT319337_896329188,KT319337,896329188,-5.88983,-79.79046,PRESERVED_SPECIMEN,4,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT,0
KT319338_896329209,KT319338,896329209,-5.89728,-79.78525,PRESERVED_SPECIMEN,6,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT,0
KT319339_896329211,KT319339,896329211,-5.89858,-79.78517,PRESERVED_SPECIMEN,8,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT,0
KT319340_1145120644,KT319340,1145120644,-10.021617,-78.049767,PRESERVED_SPECIMEN,150,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED,0
KT319341_896329319,KT319341,896329319,-10.021617,-78.049767,PRESERVED_SPECIMEN,150,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED,0
KT319342_896325556,KT319342,896325556,33.631497,-107.004689,PRESERVED_SPECIMEN,5,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED,0
KT319343_896326146,KT319343,896326146,33.631133,-107.004583,PRESERVED_SPECIMEN,50,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED,0
KT319344_896326145,KT319344,896326145,33.631133,-107.004583,PRESERVED_SPECIMEN,50,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED,0
KT319345_896315841,KT319345,896315841,35.301957,-106.570301,PRESERVED_SPECIMEN,761,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED,0
KT319346_896315827,KT319346,896315827,32.687931,-108.742676,PRESERVED_SPECIMEN,5000,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED,0
KT319347_1145118561,KT319347,1145118561,-12.001483,-76.920817,PRESERVED_SPECIMEN,50,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED,0
KT319348_896329412,KT319348,896329412,-8.38685,-78.64518,PRESERVED_SPECIMEN,300,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT,0
KT319349_896329420,KT319349,896329420,-8.38685,-78.64518,PRESERVED_SPECIMEN,300,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT,0
KT319350_896329556,KT319350,896329556,-17.561362,-70.672362,PRESERVED_SPECIMEN,150,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED,0
KT319351_896329569,KT319351,896329569,-17.561362,-70.672362,PRESERVED_SPECIMEN,150,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED,0
KT319352_896329678,KT319352,896329678,-17.39005,-70.3458,PRESERVED_SPECIMEN,6,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT,0
KT319353_896330176,KT319353,896330176,-11.711467,-69.2119,PRESERVED_SPECIMEN,300,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED,0
KT319354_896330181,KT319354,896330181,-11.711117,-69.211633,PRESERVED_SPECIMEN,10,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED,0
