phylogatr_id,accession,source_id,latitude,longitude,basis_of_record,coordinate_uncertainty_in_meters,issue,flag
AB843739_2251605906,AB843739,2251605906,44.35,141.7,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
FJ582634_2248813506,FJ582634,2248813506,43.849,-78.964,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,g
FJ582635_2309553826,FJ582635,2309553826,41.9,-82.51,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
GQ482613_2306030039,GQ482613,2306030039,47.8,112.73,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
GQ482615_2307797999,GQ482615,2307797999,55.9,39.58,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
GQ482616_2304470757,GQ482616,2304470757,46.37,141.88,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
GQ482617_2306994938,GQ482617,2306994938,68.02,68.6,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
GU571205_2304805919,GU571205,2304805919,44.6,-76.38,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
GU571206_2305810379,GU571206,2305810379,44.6,-76.38,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
GU571609_2310140546,GU571609,2310140546,59.64,11.26,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
GU571610_2306206838,GU571610,2306206838,59.64,11.26,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
GU572082_2309120120,GU572082,2309120120,63.79,20.12,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
JN801373_2308930293,JN801373,2308930293,63.483,74.867,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
