phylogatr_id,accession,source_id,latitude,longitude,basis_of_record,coordinate_uncertainty_in_meters,issue,flag
AB843139_2248760138,AB843139,2248760138,26.717,128.218,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
AB843140_2248761540,AB843140,2248761540,43.364,143.191,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
AB843141_2248762423,AB843141,2248762423,43.511,143.149,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
AB843142_2248761280,AB843142,2248761280,26.609,128.002,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
AB843143_2248762292,AB843143,2248762292,35.716,139.775,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
AB843144_2248760876,AB843144,2248760876,26.714,128.19,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
AB843145_2248761245,AB843145,2248761245,26.638,128.063,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
AB843146_2248762055,AB843146,2248762055,26.836,128.25,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
AB843147_2248762161,AB843147,2248762161,43.27,143.106,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
AB843748_2251607114,AB843748,2251607114,34.467,132.5,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
AB843749_2251606312,AB843749,2251606312,35.917,139.65,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
AB843750_2251605507,AB843750,2251605507,43.233,145.25,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
GQ482634_2305415105,GQ482634,2305415105,50.33,142.8,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
GQ482636_2305614491,GQ482636,2305614491,51.53,103.6,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
GQ482637_2305310254,GQ482637,2305310254,54.48,34.47,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
GQ482638_2305757848,GQ482638,2305757848,46.37,141.88,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
GU571615_2309188929,GU571615,2309188929,61.42,8.87,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
GU571616_2304316627,GU571616,2304316627,69.31,19.32,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
GU572087_2309348208,GU572087,2309348208,59.3,18.04,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
GU572088_2308776788,GU572088,2308776788,59.89,17.37,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
KF147199_2306548727,KF147199,2306548727,20.28,106.57,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
