phylogatr_id,accession,source_id,latitude,longitude,basis_of_record,coordinate_uncertainty_in_meters,issue,flag
AB843157_2248763006,AB843157,2248763006,36.295,139.301,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,0
AB843158_2248761784,AB843158,2248761784,28.285,129.252,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,0
AB843159_2248761453,AB843159,2248761453,43.3027,142.521,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,0
AB843160_2248761394,AB843160,2248761394,34.07,139.554,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,0
AB843161_2248762655,AB843161,2248762655,34.07,139.554,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,0
AB843163_2248760822,AB843163,2248760822,26.725,128.211,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,0
AB843164_2248760609,AB843164,2248760609,43.063,141.343,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,0
AB843165_2248761924,AB843165,2248761924,28.299,129.191,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,0
AB843166_2248761856,AB843166,2248761856,24.312,123.501,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,0
AB843167_2248760944,AB843167,2248760944,28.286,129.232,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,0
AB843168_2248762996,AB843168,2248762996,35.408,134.254,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,0
AB843169_2248761301,AB843169,2248761301,24.398,123.768,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,0
AB843754_2251605028,AB843754,2251605028,30.467,130.217,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,0
AB843755_2251604757,AB843755,2251604757,44.433,141.433,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,0
AB843756_2251605700,AB843756,2251605700,35.683,139.75,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,0
AB843757_2251605876,AB843757,2251605876,34.2,139.15,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,0
AB843758_2251605608,AB843758,2251605608,35.083,139.517,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,0
AB843760_2251604955,AB843760,2251604955,29.85,129.883,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,0
AB843761_2251605143,AB843761,2251605143,30.4,130.433,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,0
