phylogatr_id,accession,source_id,latitude,longitude,basis_of_record,coordinate_uncertainty_in_meters,issue,flag
KT221193_896325757,KT221193,896325757,-13.249333,-72.169167,PRESERVED_SPECIMEN,300,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED,
KT221194_896325758,KT221194,896325758,-13.249333,-72.169167,PRESERVED_SPECIMEN,300,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED,
KT221195_896325944,KT221195,896325944,-11.761883,-76.548867,PRESERVED_SPECIMEN,300,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED,
KT221196_896325958,KT221196,896325958,-11.761883,-76.548867,PRESERVED_SPECIMEN,300,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED,
KT221197_896328751,KT221197,896328751,-11.626833,-76.434567,PRESERVED_SPECIMEN,300,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED,
KT221198_896325964,KT221198,896325964,-11.760767,-76.567667,PRESERVED_SPECIMEN,300,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED,
KT221199_896325971,KT221199,896325971,-11.760767,-76.567667,PRESERVED_SPECIMEN,300,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED,
KT221200_896329054,KT221200,896329054,-13.188083,-72.231367,PRESERVED_SPECIMEN,1200,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED,
KT221201_896329059,KT221201,896329059,-13.188083,-72.231367,PRESERVED_SPECIMEN,1200,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED,
KT221203_896329114,KT221203,896329114,-11.768467,-76.53325,PRESERVED_SPECIMEN,20,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED,
KT221204_896329275,KT221204,896329275,-5.84,-79.505333,PRESERVED_SPECIMEN,300,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED,
KT221208_896329456,KT221208,896329456,-8.75478,-78.04845,PRESERVED_SPECIMEN,150,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT,
KT221209_896329469,KT221209,896329469,-8.75478,-78.04845,PRESERVED_SPECIMEN,150,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT,
KT221210_896329472,KT221210,896329472,-8.75478,-78.04845,PRESERVED_SPECIMEN,150,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT,
KT221211_2804195304,KT221211,2804195304,-13.336333,-75.324833,PRESERVED_SPECIMEN,0,COORDINATE_ROUNDED;TAXON_MATCH_HIGHERRANK,m
KT221323_896325757,KT221323,896325757,-13.249333,-72.169167,PRESERVED_SPECIMEN,300,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED,
KT221324_896325758,KT221324,896325758,-13.249333,-72.169167,PRESERVED_SPECIMEN,300,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED,
KT221325_896325944,KT221325,896325944,-11.761883,-76.548867,PRESERVED_SPECIMEN,300,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED,
KT221326_896325958,KT221326,896325958,-11.761883,-76.548867,PRESERVED_SPECIMEN,300,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED,
KT221327_896328751,KT221327,896328751,-11.626833,-76.434567,PRESERVED_SPECIMEN,300,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED,
KT221328_896325964,KT221328,896325964,-11.760767,-76.567667,PRESERVED_SPECIMEN,300,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED,
KT221329_896325971,KT221329,896325971,-11.760767,-76.567667,PRESERVED_SPECIMEN,300,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED,
KT221330_896329054,KT221330,896329054,-13.188083,-72.231367,PRESERVED_SPECIMEN,1200,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED,
