phylogatr_id,accession,source_id,latitude,longitude,basis_of_record,coordinate_uncertainty_in_meters,issue,flag
AB843183_2248763810,AB843183,2248763810,36.295,139.301,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
AB843184_2248761858,AB843184,2248761858,43.073,144.32,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
AB843186_2248763118,AB843186,2248763118,36.362,138.589,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
AB843187_2248762126,AB843187,2248762126,43.51,143.149,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
AB843188_2248761677,AB843188,2248761677,43.675,143.036,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
AB843190_2248762607,AB843190,2248762607,36.728,138.077,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
AB843194_2248762474,AB843194,2248762474,43.066,144.301,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
AB843195_2248761633,AB843195,2248761633,43.371,143.216,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
AB843196_2248761272,AB843196,2248761272,43.104,142.983,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
AB843778_2251605237,AB843778,2251605237,36.683,138.25,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
AB843779_2251606125,AB843779,2251606125,31.8,130.45,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
AB843780_2251606642,AB843780,2251606642,39.6,141.15,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
AB843781_2251605612,AB843781,2251605612,42.683,141.7,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
AB843782_2251605982,AB843782,2251605982,43.067,144.3,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
AB843783_2251605162,AB843783,2251605162,34.417,132.617,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
GQ482681_2307821818,GQ482681,2307821818,52.77,104.68,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
GQ482682_2305698248,GQ482682,2305698248,49.75,137.12,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
GQ922637_2249776225,GQ922637,2249776225,32.28,104.52,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,d
GU572110_2308816305,GU572110,2308816305,61.96,16.33,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
