phylogatr_id,accession,source_id,latitude,longitude,basis_of_record,coordinate_uncertainty_in_meters,issue,flag
GQ482701_2304345877,GQ482701,2304345877,55.91,39.59,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
GQ482702_2250738110,GQ482702,2250738110,51.5817,37.205,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,g
GQ482703_2307885845,GQ482703,2307885845,54.91,34.01,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
GQ482704_2308650626,GQ482704,2308650626,54.89,20.3,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
GQ482705_2306398507,GQ482705,2306398507,54.89,20.29,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
GQ482706_2306176908,GQ482706,2306176908,54.89,20.3,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
GQ482707_2305609912,GQ482707,2305609912,54.89,20.3,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
GQ482708_2306297379,GQ482708,2306297379,44.72,37.45,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
GQ482709_2305766767,GQ482709,2305766767,56.76,58.11,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
GU571641_2308686449,GU571641,2308686449,59.53,11.26,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
GU572115_2311028430,GU572115,2311028430,56.31,15.44,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
GU572116_2308552146,GU572116,2308552146,59.3,18.04,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
KF946868_2251005871,KF946868,2251005871,52.4,4.54,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
KF946869_2251006513,KF946869,2251006513,52.4,4.54,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
KF946870_2251007392,KF946870,2251007392,52.4,4.54,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
KF946871_2251006334,KF946871,2251006334,50.8,5.74,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
KX283161_2307878980,KX283161,2307878980,39.96,43.59,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
KX283162_2306331129,KX283162,2306331129,39.96,43.59,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
