phylogatr_id,accession,source_id,latitude,longitude,basis_of_record,coordinate_uncertainty_in_meters,issue,flag
MN549599_2248709438,MN549599,2248709438,-31.89,-58.24,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
MN549604_2633348967,MN549604,2633348967,-27.4448,-54.9403,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
MN549616_2632923950,MN549616,2632923950,-34.175,-58.86,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
MN549618_2633461975,MN549618,2633461975,-27.4448,-54.9403,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
MN549619_1415651008,MN549619,1415651008,-23.7358,-64.8508,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
MN549622_2248709941,MN549622,2248709941,-31.89,-58.24,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
MN549637_2250747414,MN549637,2250747414,-34.48,-58.51,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
MN549643_1415651082,MN549643,1415651082,-24.3117,-61.8123,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
FJ028437_2250735382,FJ028437,2250735382,-23.933,-65.217,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
FJ028438_2250735674,FJ028438,2250735674,-24.164,-65.324,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
FJ028439_2250735810,FJ028439,2250735810,-27.551,-58.684,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
FJ028440_2250735987,FJ028440,2250735987,-27.58,-58.66,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
FJ028441_2250734466,FJ028441,2250734466,-31.82,-58.25,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
HM396229_1415650827,HM396229,1415650827,-28.02,-58.02,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
JN313561_1415651060,JN313561,1415651060,-28.0178,-58.029,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
JN802041_2250769790,JN802041,2250769790,-8.885,-43.455,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,g
JN802042_2250769795,JN802042,2250769795,-8.885,-43.455,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
KM896623_2248727367,KM896623,2248727367,-19.8167,-40.2667,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
