phylogatr_id,accession,source_id,latitude,longitude,basis_of_record,coordinate_uncertainty_in_meters,issue,flag
JN802016_2250769453,JN802016,2250769453,-1.88,-48.785,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,g
JN802017_2310195195,JN802017,2310195195,-15.23,-59.33,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
JN802018_2309844996,JN802018,2309844996,-15.23,-59.33,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
JN802019_2250769634,JN802019,2250769634,-1.88,-48.785,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,g
JN802020_2250769661,JN802020,2250769661,-1.88,-48.785,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,g
JX487895_2310772752,JX487895,2310772752,-2.1,-78.15,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
JX487896_2309259598,JX487896,2309259598,-2.1,-78.15,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
JX487897_2310677061,JX487897,2310677061,-2.64,-77.8,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
JX487898_2309448083,JX487898,2309448083,4.09,-52.68,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
JX487899_2310794183,JX487899,2310794183,-0.64,-76.15,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
JX487900_2306749379,JX487900,2306749379,4.09,-52.68,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
JX487901_2304588500,JX487901,2304588500,4.09,-52.68,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
JX487902_2305488412,JX487902,2305488412,-2.64,-77.8,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
JX487903_2304152867,JX487903,2304152867,4.09,-52.68,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
JX487904_2305796129,JX487904,2305796129,4.09,-52.68,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
JX487905_2305632784,JX487905,2305632784,4.09,-52.68,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
JX487906_2304805512,JX487906,2304805512,-0.69,-77.73,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
JX487907_2304324417,JX487907,2304324417,4.09,-52.68,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
JX487908_2307288559,JX487908,2307288559,4.09,-52.68,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
JX487909_2307184707,JX487909,2307184707,-2.64,-77.8,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
JX487910_2305499225,JX487910,2305499225,-0.68,-77.25,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
JX487912_2310917081,JX487912,2310917081,-0.64,-76.15,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
JX487913_2308518378,JX487913,2308518378,-0.69,-77.73,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
JX487914_2309305431,JX487914,2309305431,-2.64,-77.8,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
JX487915_2310521083,JX487915,2310521083,-0.69,-77.73,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
JX487916_2310445778,JX487916,2310445778,-0.64,-76.15,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
JX487917_2308423995,JX487917,2308423995,4.09,-52.68,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
