phylogatr_id,accession,source_id,latitude,longitude,basis_of_record,coordinate_uncertainty_in_meters,issue,flag
MN549598_2632911946,MN549598,2632911946,-25.5636,-54.2959,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
MN549600_2250747368,MN549600,2250747368,-25.679,-54.449,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
MN549601_2250747515,MN549601,2250747515,-25.85,-53.98,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
MN549602_2633368954,MN549602,2633368954,-27.4447,-54.9403,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
MN549608_1415651109,MN549608,1415651109,-24.3117,-61.8123,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
MN549613_1415650997,MN549613,1415650997,-23.7358,-64.8508,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
MN549615_2632930425,MN549615,2632930425,-16.394,-67.558,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
MN549617_2248709150,MN549617,2248709150,-31.89,-58.24,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
MN549628_2633361962,MN549628,2633361962,-25.1059,-58.153,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
MN549642_2248709046,MN549642,2248709046,-31.89,-58.24,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
FJ028405_2305303098,FJ028405,2305303098,-27.55,-58.68,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
FJ028406_2305269465,FJ028406,2305269465,-23.93,-65.22,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
FJ028407_2305396630,FJ028407,2305396630,-23.93,-65.22,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
FJ028408_2306322768,FJ028408,2306322768,-25.12,-58.33,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
FJ028409_2304689795,FJ028409,2304689795,-27.55,-58.68,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
FJ028410_2305325073,FJ028410,2305325073,-27.55,-58.68,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
FJ028411_2304258535,FJ028411,2304258535,-25.1,-58.2,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
HM396215_1415650821,HM396215,1415650821,-28.02,-58.02,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
HQ569948_1415646990,HQ569948,1415646990,-27.32,-58.95,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
HQ569976_1415647021,HQ569976,1415647021,-26.81,-59.61,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
HQ569981_1415647017,HQ569981,1415647017,-26.81,-59.61,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
JN313567_1415651057,JN313567,1415651057,-24.3117,-61.8123,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
