phylogatr_id,accession,source_id,latitude,longitude,basis_of_record,coordinate_uncertainty_in_meters,issue,flag
MN199841_2633796860,MN199841,2633796860,37.5797,-0.876752,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
MN199845_2633624881,MN199845,2633624881,37.5797,-0.876752,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
MN199858_2633639824,MN199858,2633639824,37.5797,-0.876752,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
GQ482876_2305764019,GQ482876,2305764019,44.35,33.57,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
GQ482877_2305937577,GQ482877,2305937577,50.63,91.52,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
GQ482878_2306205818,GQ482878,2306205818,50.63,91.52,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
GQ482879_2306763484,GQ482879,2306763484,54.92,39.37,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
GQ482880_2307126188,GQ482880,2307126188,44.12,39.9,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
GQ482881_2307875366,GQ482881,2307875366,44.12,39.9,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
GQ482882_2304352386,GQ482882,2304352386,42.99,75.88,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
GQ482883_2305390710,GQ482883,2305390710,52.77,104.68,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
GU571678_2304720006,GU571678,2304720006,58.11,6.57,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
GU571679_2307623439,GU571679,2307623439,59.51,11.57,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
GU572152_2309962890,GU572152,2309962890,55.42,12.84,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
GU572153_2310548240,GU572153,2310548240,56.22,16.41,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
JN801391_2307278632,JN801391,2307278632,52.35,0.5,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
KF946913_2251008189,KF946913,2251008189,52.4,4.54,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
