phylogatr_id,accession,source_id,latitude,longitude,basis_of_record,coordinate_uncertainty_in_meters,issue,flag
MG263859_2310590592,MG263859,2310590592,-40.35,-73,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
MG263860_2310191759,MG263860,2310191759,-40.78,-73.16,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
MG263861_2308671573,MG263861,2308671573,-40.84,-73.17,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
MG263862_2310091775,MG263862,2310091775,-40.7,-73.13,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
MG263863_2309966269,MG263863,2309966269,-40.24,-72.94,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
MG263864_2249768513,MG263864,2249768513,34.2717,71.2968,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,g
MG263865_2310906036,MG263865,2310906036,-34.27,-71.3,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
DQ433249_2304564932,DQ433249,2304564932,25.48,-80.38,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
DQ434212_2304605777,DQ434212,2304605777,49.1,-121.57,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
DQ434213_2305628375,DQ434213,2305628375,49.05,-123.05,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
FJ028529_2308967029,FJ028529,2308967029,-41.11,-70.38,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
GU572154_2311095184,GU572154,2311095184,55.61,13.07,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
GU572155_2310122252,GU572155,2310122252,55.65,13.15,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
JF498905_2306283465,JF498905,2306283465,21.45,-157.77,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
JF498906_2306764940,JF498906,2306764940,21.98,-159.34,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
KF946914_2251006896,KF946914,2251006896,52.74,4.7,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
KF946915_2251006793,KF946915,2251006793,52.36,6.56,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
KF946916_2251008134,KF946916,2251008134,53.0333,4.8166,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
KF946917_2251005604,KF946917,2251005604,52.28,4.92,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
KF946918_2251006564,KF946918,2251006564,52.44,4.76,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
KF946919_2251005030,KF946919,2251005030,52.46,4.72,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
KF946920_2251007429,KF946920,2251007429,53.24,5.9,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
KF946921_2251005672,KF946921,2251005672,53.14,5.9,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
KF946922_2251005543,KF946922,2251005543,52.8,4.98,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
KF946923_2251007327,KF946923,2251007327,53.2,5.74,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
KF946924_2251006836,KF946924,2251006836,53.0333,4.8,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
KF946925_2251007079,KF946925,2251007079,52.5,4.9,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
KF946926_2251006878,KF946926,2251006878,52.2,6.56,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
KM377629_2249929483,KM377629,2249929483,-4.654,-73.45,MATERIAL_SAMPLE,0,COUNTRY_COORDINATE_MISMATCH;GEODETIC_DATUM_ASSUMED_WGS84,g
KM377630_2309112600,KM377630,2309112600,-40.08,-72.87,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
KM377631_2310434428,KM377631,2310434428,-40.3,-72.97,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
KM377632_2249930459,KM377632,2249930459,-4.413,-73.1,MATERIAL_SAMPLE,0,COUNTRY_COORDINATE_MISMATCH;GEODETIC_DATUM_ASSUMED_WGS84,g
KM377633_2308819130,KM377633,2308819130,-40.36,-73,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
KM377634_2310948241,KM377634,2310948241,-40.31,-72.98,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
KM377635_2309174240,KM377635,2309174240,-40.3,-72.95,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
KM377636_2309142161,KM377636,2309142161,-40.18,-72.91,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
KM377637_2311235345,KM377637,2311235345,-39.85,-72.81,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
