phylogatr_id,accession,source_id,latitude,longitude,basis_of_record,coordinate_uncertainty_in_meters,issue,flag
AB843839_2251607104,AB843839,2251607104,35.933,139.583,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
GQ482906_2308084185,GQ482906,2308084185,44.88,75.12,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
GQ482907_2306456844,GQ482907,2306456844,44.88,75.12,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
GQ482908_2306845195,GQ482908,2306845195,54.95,39.3,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
GQ482909_2305567896,GQ482909,2305567896,48.03,114.38,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
GQ482910_2306279422,GQ482910,2306279422,47.37,118.48,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
GU571685_2309061330,GU571685,2309061330,58.6,5.62,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
GU571686_2310157272,GU571686,2310157272,58.62,5.8,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
GU572159_2310469231,GU572159,2310469231,59.66,17.98,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
GU572160_2310272163,GU572160,2310272163,59.66,17.98,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
GU572161_2308746818,GU572161,2308746818,59.66,17.98,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
JF499176_2305492741,JF499176,2305492741,34.14,132.23,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
JF499177_2307551351,JF499177,2307551351,34.14,132.23,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
KF946930_2251008491,KF946930,2251008491,52.14,4.4,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
KF946931_2251007702,KF946931,2251007702,52.14,4.4,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
KF946932_2251007776,KF946932,2251007776,52.14,4.4,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
KF946933_2251006018,KF946933,2251006018,52.14,4.4,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
KF946934_2251007901,KF946934,2251007901,52.14,4.4,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
KF946935_2251007426,KF946935,2251007426,52.14,4.4,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
KF946936_2251004652,KF946936,2251004652,52.14,4.4,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
KF946937_2251008143,KF946937,2251008143,52.14,4.4,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
KY754558_2310741113,KY754558,2310741113,47.78,13.04,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
