phylogatr_id,accession,source_id,latitude,longitude,basis_of_record,coordinate_uncertainty_in_meters,issue,flag
AF081971_896435164,AF081971,896435164,48.43072,-119.77284,PRESERVED_SPECIMEN,4358,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT,0
AF081972_896435179,AF081972,896435179,48.43072,-119.77284,PRESERVED_SPECIMEN,4358,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT,0
AF081973_896433076,AF081973,896433076,45.7818969975,-114.3259922343,PRESERVED_SPECIMEN,1625,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_REPROJECTED,0
AF081974_896433093,AF081974,896433093,45.7818969975,-114.3259922343,PRESERVED_SPECIMEN,1625,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_REPROJECTED,0
AF081975_896431597,AF081975,896431597,39.3757685771,-122.867176902,PRESERVED_SPECIMEN,3959,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_REPROJECTED;COORDINATE_ROUNDED,0
AF081976_896431552,AF081976,896431552,39.3757685771,-122.867176902,PRESERVED_SPECIMEN,3959,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_REPROJECTED;COORDINATE_ROUNDED,0
AF081977_896434589,AF081977,896434589,35.261781743,-120.4135622747,PRESERVED_SPECIMEN,161,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_REPROJECTED,0
AF081978_896434601,AF081978,896434601,35.261781743,-120.4135622747,PRESERVED_SPECIMEN,161,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_REPROJECTED,0
AF081979_896435781,AF081979,896435781,38.7241467404,-119.7708729818,PRESERVED_SPECIMEN,998,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_REPROJECTED,0
AF081980_896435795,AF081980,896435795,38.7203239154,-119.7583436365,PRESERVED_SPECIMEN,676,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_REPROJECTED,0
AF081981_896435821,AF081981,896435821,38.7203239154,-119.7583436365,PRESERVED_SPECIMEN,676,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_REPROJECTED,0
AF081982_896442011,AF081982,896442011,38.7315186718,-119.7611288469,PRESERVED_SPECIMEN,1400,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_REPROJECTED,0
AF081983_896435357,AF081983,896435357,37.095091676,-119.2242009966,PRESERVED_SPECIMEN,805,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_REPROJECTED,0
AF081984_896435372,AF081984,896435372,37.128847204,-118.9210973084,PRESERVED_SPECIMEN,1802,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_REPROJECTED,0
AF081985_896434666,AF081985,896434666,37.0847364126,-119.2899314074,PRESERVED_SPECIMEN,1207,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_REPROJECTED,0
AF081986_896435249,AF081986,896435249,37.0847364126,-119.2899314074,PRESERVED_SPECIMEN,1207,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_REPROJECTED,0
AF081987_896434501,AF081987,896434501,35.6151227963,-118.487682079,PRESERVED_SPECIMEN,209,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_REPROJECTED,0
AF081988_896434512,AF081988,896434512,35.6151227963,-118.487682079,PRESERVED_SPECIMEN,209,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_REPROJECTED,0
AF081989_896434035,AF081989,896434035,35.7194759399,-118.5174939079,PRESERVED_SPECIMEN,4908,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_REPROJECTED;COORDINATE_ROUNDED,0
AF081990_896434045,AF081990,896434045,35.7194759399,-118.5174939079,PRESERVED_SPECIMEN,4908,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_REPROJECTED;COORDINATE_ROUNDED,0
