phylogatr_id,accession,source_id,latitude,longitude,basis_of_record,coordinate_uncertainty_in_meters,issue,flag
FJ028599_2304564056,FJ028599,2304564056,-40.83,-65.11,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
FJ028600_2307538242,FJ028600,2307538242,-51.62,-69.25,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
FJ028601_2310515597,FJ028601,2310515597,-25.12,-58.33,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
FJ028602_2307665902,FJ028602,2307665902,-23.27,-65.75,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
FJ028603_2310350840,FJ028603,2310350840,-41.15,-70.41,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
FJ028604_2311121157,FJ028604,2311121157,-24.12,-64.45,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
FJ028605_2310626575,FJ028605,2310626575,-40.58,-62.68,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
FJ028606_2309392907,FJ028606,2309392907,-27.55,-58.68,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
FJ028607_2309042048,FJ028607,2309042048,-25.12,-58.33,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
JN802113_2305407351,JN802113,2305407351,-22.35,-65.5,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
JN802114_2304780348,JN802114,2304780348,-22.02,-65.05,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,
JN802115_2307454408,JN802115,2307454408,-27.01,-65.5,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
JQ627358_2249772129,JQ627358,2249772129,-21.98,-47.87,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,d
JQ627359_2249772174,JQ627359,2249772174,-21.98,-47.87,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,d
