phylogatr_id,accession,source_id,latitude,longitude,basis_of_record,coordinate_uncertainty_in_meters,issue,flag
LC406430_2249806777,LC406430,2249806777,22.8462,105.113,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
LC406431_2249806981,LC406431,2249806981,22.8462,105.113,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
LC406432_2249805895,LC406432,2249805895,22.3532,105.42,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
LC406433_2249806296,LC406433,2249806296,22.3532,105.42,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
LC406434_2249806609,LC406434,2249806609,22.3532,105.42,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
LC406435_2249806062,LC406435,2249806062,22.3532,105.42,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
LC406436_2249807632,LC406436,2249807632,22.3532,105.42,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
LC406437_2309385599,LC406437,2309385599,16.89,106.57,MATERIAL_SAMPLE,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,m
LC406438_2309038516,LC406438,2309038516,16.89,106.57,MATERIAL_SAMPLE,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,m
LC406439_2307926496,LC406439,2307926496,16.89,106.57,MATERIAL_SAMPLE,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,m
LC406440_2311028425,LC406440,2311028425,16.89,106.57,MATERIAL_SAMPLE,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,m
LC406441_2308359102,LC406441,2308359102,16.89,106.57,MATERIAL_SAMPLE,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,m
LC406442_2308844949,LC406442,2308844949,16.89,106.57,MATERIAL_SAMPLE,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,m
LC406443_2308040963,LC406443,2308040963,16.89,106.57,MATERIAL_SAMPLE,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,m
LC406444_2309973745,LC406444,2309973745,16.89,106.57,MATERIAL_SAMPLE,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,m
LC406445_2308720669,LC406445,2308720669,16.89,106.57,MATERIAL_SAMPLE,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,m
LC406446_2311017208,LC406446,2311017208,16.89,106.57,MATERIAL_SAMPLE,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,m
LC406447_2308369173,LC406447,2308369173,16.61,106.88,MATERIAL_SAMPLE,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,m
LC406448_2308503296,LC406448,2308503296,16.61,106.88,MATERIAL_SAMPLE,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,m
MK107839_2306069008,MK107839,2306069008,21.12,104.96,MATERIAL_SAMPLE,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,m
MK107840_2310212216,MK107840,2310212216,21.12,104.96,MATERIAL_SAMPLE,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,m
MK410398_2633614724,MK410398,2633614724,21.1231,104.96,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,m
MK410399_2633289797,MK410399,2633289797,21.1231,104.96,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,m
MK410400_2633801736,MK410400,2633801736,21.1231,104.96,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,m
MK410401_2633610795,MK410401,2633610795,21.1231,104.96,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,m
