phylogatr_id,accession,source_id,latitude,longitude,basis_of_record,coordinate_uncertainty_in_meters,issue,flag
AY922376_1320426911,AY922376,1320426911,11.6,124.48,PRESERVED_SPECIMEN,0,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84,0
AY922377_1321343049,AY922377,1321343049,11.6,124.48,PRESERVED_SPECIMEN,0,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84,0
AY922378_1320998194,AY922378,1320998194,11.6,124.48,PRESERVED_SPECIMEN,0,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84,0
AY922379_1321482797,AY922379,1321482797,11.58,124.5,PRESERVED_SPECIMEN,0,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84,0
AY922380_1318094145,AY922380,1318094145,11.58,124.5,PRESERVED_SPECIMEN,0,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84,0
AY922381_1320172002,AY922381,1320172002,11.58,124.5,PRESERVED_SPECIMEN,0,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84,0
AY922382_1318156450,AY922382,1318156450,11.58,124.5,PRESERVED_SPECIMEN,0,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84,0
AY922383_1320433023,AY922383,1320433023,11.58,124.5,PRESERVED_SPECIMEN,0,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84,0
AY922392_1321328807,AY922392,1321328807,13.78,124.32,PRESERVED_SPECIMEN,0,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84,0
AY922395_1318795224,AY922395,1318795224,13.78,124.32,PRESERVED_SPECIMEN,0,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84,0
