phylogatr_id,accession,source_id,latitude,longitude,basis_of_record,coordinate_uncertainty_in_meters,issue,flag
HM540248_2304145164,HM540248,2304145164,17.667,105.933,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
HM540249_2305742637,HM540249,2305742637,3.717,102.167,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
HM540251_2310053540,HM540251,2310053540,20.171,103.188,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
HM540252_2308331770,HM540252,2308331770,22.467,105.65,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
HM540253_2308423660,HM540253,2308423660,22.467,105.65,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
HM540254_2308767260,HM540254,2308767260,22.467,105.65,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
HM540255_2311005573,HM540255,2311005573,22.417,105.6,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
HM540256_2308270473,HM540256,2308270473,10.383,106.917,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
HM540257_2310104729,HM540257,2310104729,14.933,107.033,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
HM540258_2310940338,HM540258,2310940338,22.333,105.417,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
HM540259_2310025238,HM540259,2310025238,14.933,107.033,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
HM540260_2309012130,HM540260,2309012130,22.417,105.6,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
HM540261_2311096787,HM540261,2311096787,22.417,105.6,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
HM540262_2308902040,HM540262,2308902040,22.417,105.6,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
HM540263_2310207438,HM540263,2310207438,22.417,105.6,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
HM540264_2308686401,HM540264,2308686401,22.417,105.6,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
HM540265_2309634940,HM540265,2309634940,11.417,107.433,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
JF443875_2306909737,JF443875,2306909737,22.42,105.6,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
MK585712_2633462458,MK585712,2633462458,12.2427,121.128,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
MK585745_2632932453,MK585745,2632932453,12.2427,121.128,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
MK585799_2633466452,MK585799,2633466452,12.2427,121.128,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
