phylogatr_id,accession,source_id,latitude,longitude,basis_of_record,coordinate_uncertainty_in_meters,issue,flag
HQ974653_2309191318,HQ974653,2309191318,48.4,45.28,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
HQ974654_2307668951,HQ974654,2307668951,44.87,37.82,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
JF442811_2304280159,JF442811,2304280159,53,32.55,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
JF442812_2306124087,JF442812,2306124087,53,32.55,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,
JF442813_2306429670,JF442813,2306429670,54.93,20.27,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,
JF442817_2306473505,JF442817,2306473505,52.62,39.63,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
JF442818_2251358122,JF442818,2251358122,49.315,43.065,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,g
JF442819_2307320483,JF442819,2307320483,49.17,44.87,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
JF442820_2309661681,JF442820,2309661681,48.4,45.28,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
JF442821_2311111122,JF442821,2311111122,53,32.55,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,
JF442822_2311146351,JF442822,2311146351,52.5,31.79,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
JX008039_2305275557,JX008039,2305275557,52.52,34.47,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,
JX008040_2309389975,JX008040,2309389975,49.55,49,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
JX008041_2309847904,JX008041,2309847904,48.67,51.8,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
JX008042_2310922079,JX008042,2310922079,48.16,56.13,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
JX008043_2310500863,JX008043,2310500863,48.16,56.13,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
JX008044_2310427249,JX008044,2310427249,48.16,56.13,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
JX008045_2311139986,JX008045,2311139986,50.97,53.55,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
JX008047_2307904209,JX008047,2307904209,52.43,34.14,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
KY754504_2311071565,KY754504,2311071565,48.02,14.4,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,
MT407273_2819133315,MT407273,2819133315,39.4,-7.4,MATERIAL_SAMPLE,0,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;RECORDED_DATE_INVALID,
MT407274_2819133303,MT407274,2819133303,40.6,-8.2,MATERIAL_SAMPLE,0,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT,
MT407275_2819133348,MT407275,2819133348,41.3,-7.1,MATERIAL_SAMPLE,0,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT,
MT407276_2819133356,MT407276,2819133356,39,-9.3,MATERIAL_SAMPLE,0,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;RECORDED_DATE_INVALID,
