phylogatr_id,accession,source_id,latitude,longitude,basis_of_record,coordinate_uncertainty_in_meters,issue,flag
AY817769_1319210802,AY817769,1319210802,11.6,124.48,PRESERVED_SPECIMEN,0,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84,0
AY817770_1317709142,AY817770,1317709142,11.6,124.48,PRESERVED_SPECIMEN,0,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84,0
AY817771_1321213741,AY817771,1321213741,11.6,124.48,PRESERVED_SPECIMEN,0,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84,0
AY817772_1320778378,AY817772,1320778378,11.6,124.48,PRESERVED_SPECIMEN,0,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84,0
AY817773_1320210352,AY817773,1320210352,11.6,124.48,PRESERVED_SPECIMEN,0,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84,0
AY817774_1322948780,AY817774,1322948780,11.6,124.48,PRESERVED_SPECIMEN,0,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84,0
AY817775_1322794547,AY817775,1322794547,11.6,124.48,PRESERVED_SPECIMEN,0,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84,0
AY817776_1321660918,AY817776,1321660918,11.6,124.48,PRESERVED_SPECIMEN,0,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84,0
AY817778_1321919942,AY817778,1321919942,13.78,124.32,PRESERVED_SPECIMEN,0,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84,0
AY817780_1321349291,AY817780,1321349291,13.78,124.32,PRESERVED_SPECIMEN,0,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84,0
AY817781_1321796542,AY817781,1321796542,13.8,124.32,PRESERVED_SPECIMEN,0,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84,0
AY817786_1321390689,AY817786,1321390689,13.78,124.32,PRESERVED_SPECIMEN,0,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84,0
AY817787_1318164036,AY817787,1318164036,13.78,124.32,PRESERVED_SPECIMEN,0,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84,0
AY817788_1321445090,AY817788,1321445090,13.78,124.32,PRESERVED_SPECIMEN,0,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84,0
AY817789_1321806597,AY817789,1321806597,13.78,124.32,PRESERVED_SPECIMEN,0,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84,0
AY817804_1320332057,AY817804,1320332057,10.77,124.82,PRESERVED_SPECIMEN,0,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84,0
AY817821_1317962645,AY817821,1317962645,9.37,123.15,PRESERVED_SPECIMEN,0,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84,0
AY817822_1317943936,AY817822,1317943936,9.3667,123.15,PRESERVED_SPECIMEN,0,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84,0
AY817823_1319626885,AY817823,1319626885,9.37,123.15,PRESERVED_SPECIMEN,0,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84,0
AY817824_1320517548,AY817824,1320517548,9.37,123.15,PRESERVED_SPECIMEN,0,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84,0
AY817825_1319659707,AY817825,1319659707,9.37,123.15,PRESERVED_SPECIMEN,0,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84,0
AY817826_1322421997,AY817826,1322421997,9.37,123.15,PRESERVED_SPECIMEN,0,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84,0
AY817827_1322828506,AY817827,1322828506,9.37,123.15,PRESERVED_SPECIMEN,0,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84,0
AY817828_1321857968,AY817828,1321857968,9.37,123.15,PRESERVED_SPECIMEN,0,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84,0
AY817877_1320273520,AY817877,1320273520,13.67,123.33,PRESERVED_SPECIMEN,0,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84,0
AY817878_1318536617,AY817878,1318536617,13.67,123.33,PRESERVED_SPECIMEN,0,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84,0
AY817892_1319210802,AY817892,1319210802,11.6,124.48,PRESERVED_SPECIMEN,0,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84,0
AY817893_1317709142,AY817893,1317709142,11.6,124.48,PRESERVED_SPECIMEN,0,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84,0
AY817894_1321213741,AY817894,1321213741,11.6,124.48,PRESERVED_SPECIMEN,0,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84,0
AY817895_1320778378,AY817895,1320778378,11.6,124.48,PRESERVED_SPECIMEN,0,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84,0
AY817896_1320210352,AY817896,1320210352,11.6,124.48,PRESERVED_SPECIMEN,0,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84,0
AY817897_1322948780,AY817897,1322948780,11.6,124.48,PRESERVED_SPECIMEN,0,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84,0
AY817898_1322794547,AY817898,1322794547,11.6,124.48,PRESERVED_SPECIMEN,0,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84,0
AY817899_1321660918,AY817899,1321660918,11.6,124.48,PRESERVED_SPECIMEN,0,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84,0
