phylogatr_id,accession,source_id,latitude,longitude,basis_of_record,coordinate_uncertainty_in_meters,issue,flag
AY922622_1319860326,AY922622,1319860326,11.6,124.48,PRESERVED_SPECIMEN,0,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84,0
AY922623_1320550328,AY922623,1320550328,11.6,124.48,PRESERVED_SPECIMEN,0,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84,0
AY922624_1321207924,AY922624,1321207924,11.6,124.48,PRESERVED_SPECIMEN,0,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84,0
AY922625_1318291009,AY922625,1318291009,11.6,124.48,PRESERVED_SPECIMEN,0,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84,0
AY922635_1320590726,AY922635,1320590726,13.8,124.32,PRESERVED_SPECIMEN,0,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84,0
AY922636_1319518662,AY922636,1319518662,13.8,124.32,PRESERVED_SPECIMEN,0,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84,0
AY922637_1320627772,AY922637,1320627772,13.8,124.32,PRESERVED_SPECIMEN,0,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84,0
AY922643_1322598756,AY922643,1322598756,10.7833,124.833,PRESERVED_SPECIMEN,0,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84,0
AY922645_1317962069,AY922645,1317962069,10.75,124.78,PRESERVED_SPECIMEN,0,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84,0
AY922654_1320392507,AY922654,1320392507,9.3,123.3,PRESERVED_SPECIMEN,0,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84,0
AY922655_1319667074,AY922655,1319667074,9.3,123.3,PRESERVED_SPECIMEN,0,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84,0
AY922656_1318717634,AY922656,1318717634,9.27,123.22,PRESERVED_SPECIMEN,0,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84,0
AY922659_1320829568,AY922659,1320829568,9.27,123.22,PRESERVED_SPECIMEN,0,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84,0
AY922660_1322264701,AY922660,1322264701,9.27,123.22,PRESERVED_SPECIMEN,0,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84,0
AY922661_1319412768,AY922661,1319412768,9.27,123.22,PRESERVED_SPECIMEN,0,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84,0
AY922699_1322127840,AY922699,1322127840,13.67,123.33,PRESERVED_SPECIMEN,0,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84,0
AY922700_1319261986,AY922700,1319261986,13.67,123.33,PRESERVED_SPECIMEN,0,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84,0
