phylogatr_id,accession,source_id,latitude,longitude,basis_of_record,coordinate_uncertainty_in_meters,issue,flag
JF442436_2248483448,JF442436,2248483448,0.431,36.174,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
JF442437_2248482892,JF442437,2248482892,0.431,36.174,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
JF442443_2248483426,JF442443,2248483426,-0.43109,36.1738,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
JF442447_2248483075,JF442447,2248483075,-0.43109,36.1738,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
JF442448_2248483751,JF442448,2248483751,-0.43109,36.1738,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
JF442449_2248483798,JF442449,2248483798,-0.43109,36.1738,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
JF442460_2307962770,JF442460,2307962770,-2.53,37.85,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
JF442461_2309905980,JF442461,2309905980,-2.53,37.85,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
JF442462_2308150788,JF442462,2308150788,-2.53,37.85,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
JF442463_2310085956,JF442463,2310085956,-2.53,37.85,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
JF442464_2307736012,JF442464,2307736012,-2.53,37.85,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
JF442465_2309114813,JF442465,2309114813,-2.53,37.85,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
JF442466_2309070521,JF442466,2309070521,-2.53,37.85,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
JF442467_2310643589,JF442467,2310643589,-2.53,37.85,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
JF442468_2309147584,JF442468,2309147584,-2.32,37.51,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
JF442469_2310662660,JF442469,2310662660,-2.32,37.51,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
JF442470_2308544336,JF442470,2308544336,-2.32,37.51,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
