phylogatr_id,accession,source_id,latitude,longitude,basis_of_record,coordinate_uncertainty_in_meters,issue,flag
JF442483_2307224510,JF442483,2307224510,-4.61,39.35,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
JF442484_2306012639,JF442484,2306012639,-4.61,39.35,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
JF442485_2305953894,JF442485,2305953894,-4.61,39.35,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
JF442486_2305254752,JF442486,2305254752,-4.61,39.35,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
JF442487_2304451392,JF442487,2304451392,-4.61,39.35,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
JF442488_2305454895,JF442488,2305454895,-4.61,39.35,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
JF442489_2309633107,JF442489,2309633107,-4.61,39.35,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
JF442490_2308248399,JF442490,2308248399,-4.61,39.35,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
JF442491_2305124112,JF442491,2305124112,-4.61,39.35,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
JF442492_2306841364,JF442492,2306841364,-4.61,39.35,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
JF442493_2308362209,JF442493,2308362209,-4.61,39.35,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
JF442494_2305753460,JF442494,2305753460,-4.61,39.35,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
JF442495_2305952696,JF442495,2305952696,-4.61,39.35,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
JF442496_2308367645,JF442496,2308367645,-4.61,39.35,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
JF442497_2306368988,JF442497,2306368988,-4.61,39.35,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
JF442498_2305476459,JF442498,2305476459,-4.61,39.35,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
JF442499_2305025748,JF442499,2305025748,-4.61,39.35,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
JF442500_2308035708,JF442500,2308035708,-4.61,39.35,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
JF442501_2308701723,JF442501,2308701723,-4.37,39.21,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
JF442502_2309539429,JF442502,2309539429,-4.37,39.21,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
JF442503_2309440915,JF442503,2309440915,-4.37,39.21,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
JF442504_2310462915,JF442504,2310462915,-4.37,39.21,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
JF442505_2309590662,JF442505,2309590662,-4.37,39.21,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
JF442506_2310356182,JF442506,2310356182,-4.37,39.21,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
JF442507_2309846551,JF442507,2309846551,-4.37,39.21,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
JF442508_2310112297,JF442508,2310112297,-4.37,39.21,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
JF442509_2310674968,JF442509,2310674968,-3.32,40.04,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
JF442510_2304709099,JF442510,2304709099,-3.32,40.04,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
JF442511_2307893264,JF442511,2307893264,-3.32,40.04,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
JF442512_2305412598,JF442512,2305412598,-3.32,40.04,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
JF442513_2307737572,JF442513,2307737572,-3.32,40.04,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
