phylogatr_id,accession,source_id,latitude,longitude,basis_of_record,coordinate_uncertainty_in_meters,issue,flag
JF442442_2248483741,JF442442,2248483741,-0.43109,36.1738,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
JF442446_2248483351,JF442446,2248483351,-0.43109,36.1738,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,
JF442514_2248482612,JF442514,2248482612,-1.02,34.455,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,g
JF442515_2307404288,JF442515,2307404288,1.03,34.76,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
JF442516_2305430649,JF442516,2305430649,1.03,34.76,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
JF442517_2307514456,JF442517,2307514456,1.03,34.76,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
JF442518_2307497884,JF442518,2307497884,1.03,34.76,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
JF442519_2305466179,JF442519,2305466179,1.03,34.76,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
JF442520_2304234992,JF442520,2304234992,1.03,34.76,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
JF442521_2305453462,JF442521,2305453462,1.03,34.76,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
JF442522_2304755231,JF442522,2304755231,1.03,34.76,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,b
JF442523_2248482677,JF442523,2248482677,-1.02,34.455,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,g
JF442524_2248482893,JF442524,2248482893,-1.02,34.455,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,g
JF442525_2248483486,JF442525,2248483486,-1.02,34.455,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,g
JF442526_2248483506,JF442526,2248483506,-1.02,34.455,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,g
JF442527_2248483601,JF442527,2248483601,-1.02,34.455,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,g
JF442528_2248483483,JF442528,2248483483,-1.02,34.455,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,g
JF442529_2248482586,JF442529,2248482586,-1.02,34.455,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,g
JF442530_2248483544,JF442530,2248483544,-1.02,34.455,MATERIAL_SAMPLE,0,GEODETIC_DATUM_ASSUMED_WGS84,g
