phylogatr_id,accession,source_id,latitude,longitude,basis_of_record,coordinate_uncertainty_in_meters,issue,flag
HM042915_2308651588,HM042915,2308651588,50.93,-0.76,MATERIAL_SAMPLE,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,0
HM042916_2308588298,HM042916,2308588298,50.93,-0.76,MATERIAL_SAMPLE,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,0
HM042917_2310904706,HM042917,2310904706,50.93,-0.76,MATERIAL_SAMPLE,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,0
HM042918_2309986392,HM042918,2309986392,50.93,-0.76,MATERIAL_SAMPLE,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,0
HM042919_2308098862,HM042919,2308098862,50.93,-0.76,MATERIAL_SAMPLE,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,0
HM042920_2309967862,HM042920,2309967862,50.93,-0.76,MATERIAL_SAMPLE,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,0
HM042921_2311023430,HM042921,2311023430,50.93,-0.76,MATERIAL_SAMPLE,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,0
HM042922_2309405834,HM042922,2309405834,50.93,-0.76,MATERIAL_SAMPLE,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,0
HM042923_2310398241,HM042923,2310398241,50.93,-0.76,MATERIAL_SAMPLE,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,0
HM042924_2309947987,HM042924,2309947987,50.93,-0.76,MATERIAL_SAMPLE,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,0
HM042925_2309904792,HM042925,2309904792,50.93,-0.76,MATERIAL_SAMPLE,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,0
HM042926_2310879926,HM042926,2310879926,50.93,-0.76,MATERIAL_SAMPLE,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,0
HM042928_2309286455,HM042928,2309286455,54.24,-1.12,MATERIAL_SAMPLE,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,0
HM042929_2308496279,HM042929,2308496279,50.93,-0.76,MATERIAL_SAMPLE,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,0
LN864497_2305494959,LN864497,2305494959,50.1551,5.2256,MATERIAL_SAMPLE,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,0
