phylogatr_id,accession,source_id,latitude,longitude,basis_of_record,coordinate_uncertainty_in_meters,issue,flag
HM042953_2310738253,HM042953,2310738253,54.26,-7.82,MATERIAL_SAMPLE,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,0
HM042954_2308961149,HM042954,2308961149,54.26,-7.82,MATERIAL_SAMPLE,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,0
HM042957_2310867997,HM042957,2310867997,54.22,-2.51,MATERIAL_SAMPLE,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,0
HM042958_2307424216,HM042958,2307424216,54.22,-2.51,MATERIAL_SAMPLE,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,0
HM042962_2310484494,HM042962,2310484494,51.2,-3.58,MATERIAL_SAMPLE,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,0
HM042963_2310179946,HM042963,2310179946,51.2,-3.58,MATERIAL_SAMPLE,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,0
HM042965_2310797032,HM042965,2310797032,50.95,-0.76,MATERIAL_SAMPLE,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,0
HM042967_2309954010,HM042967,2309954010,50.93,-0.76,MATERIAL_SAMPLE,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,0
HM042968_2311245722,HM042968,2311245722,54.16,-2.03,MATERIAL_SAMPLE,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,0
HM042969_2309617891,HM042969,2309617891,54.24,-1.1,MATERIAL_SAMPLE,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,0
HM042970_2309396437,HM042970,2309396437,54.22,-2.51,MATERIAL_SAMPLE,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,0
HM042971_2309570857,HM042971,2309570857,51.2,-3.75,MATERIAL_SAMPLE,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,0
HM042972_2311214772,HM042972,2311214772,50.93,-0.76,MATERIAL_SAMPLE,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,0
HM042973_2309286722,HM042973,2309286722,51.2,-3.75,MATERIAL_SAMPLE,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,0
HM042974_2308758511,HM042974,2308758511,51.2,-3.75,MATERIAL_SAMPLE,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,0
HM042975_2310568405,HM042975,2310568405,51.2,-3.75,MATERIAL_SAMPLE,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,0
HM042977_2308514706,HM042977,2308514706,51.2,-3.75,MATERIAL_SAMPLE,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,0
HM042978_2304594207,HM042978,2304594207,54.24,-1.1,MATERIAL_SAMPLE,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,0
HM042980_2304537898,HM042980,2304537898,54.26,-7.82,MATERIAL_SAMPLE,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,0
HM042981_2306112856,HM042981,2306112856,54.24,-1.1,MATERIAL_SAMPLE,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,0
HM380204_2308729766,HM380204,2308729766,59.16,10.34,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,0
JF443005_2309442698,JF443005,2309442698,55.44,44.55,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,0
JF443006_2308665059,JF443006,2308665059,43.71,40.25,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,0
JF443008_2307894241,JF443008,2307894241,55.44,44.55,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,0
JF443009_2308358651,JF443009,2308358651,55.44,44.55,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,0
JF443010_2308299303,JF443010,2308299303,43.96,39.88,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,0
JF443011_2310968965,JF443011,2310968965,44.36,38.53,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,0
JF443012_2307417756,JF443012,2307417756,55.44,44.55,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,0
JF443014_2309489565,JF443014,2309489565,44,40,PRESERVED_SPECIMEN,0,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84,0
MT407303_2819133340,MT407303,2819133340,40.3,-7.6,MATERIAL_SAMPLE,0,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT,0
MT407304_2819133345,MT407304,2819133345,40.3,-7.6,MATERIAL_SAMPLE,0,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT,0
MT407305_2819133309,MT407305,2819133309,40.3,-7.6,MATERIAL_SAMPLE,0,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT,0
